doc_id,surface,start_pos,end_pos,type,identifier
document_110001.html,Arcivescovo,61,72,PER,Q34634425
document_110009.html,Stefano Riccio,19,33,PER,Q19468748
document_110010.html,Stefano Riccio,19,33,PER,Q19468748
document_110011.html,Italia,649,655,LOC,Q38
document_110012.html,Arco,34,38,LOC,Q138473
document_110012.html,Raimondo Santoro,107,123,PER,NIL
document_110012.html,Associazione,146,158,ORG,Q3091708
document_110012.html,Bari,184,188,LOC,Q3519
document_110013.html,Federazione,203,214,ORG,Q3091708
document_110013.html,Fuci,301,305,ORG,Q3091708
document_110013.html,Guf,335,338,ORG,Q3118248
document_110013.html,Partito,487,494,ORG,Q139596
document_110013.html,Fuci,545,549,ORG,Q3091708
document_110013.html,Azione Cattolica,558,574,ORG,Q3318304
document_110013.html,Organizzazione,983,997,ORG,Q3091708
document_110014.html,Fuci,193,197,ORG,Q3091708
document_110014.html,Mezzogiorno,202,213,LOC,Q207989
document_110014.html,Italia,216,222,LOC,Q38
document_110014.html,Sud,388,391,LOC,Q207989
document_110014.html,Fuci,492,496,ORG,Q3091708
document_110014.html,Associazioni,648,660,ORG,Q3091708
document_110015.html,Fuci,75,79,ORG,Q3091708
document_110015.html,Universitari Cattolici Italiani,205,236,ORG,Q3091708
document_110015.html,Italia,533,539,LOC,Q38
document_110016.html,Associazioni Universitarie di Azione Cattolica,40,86,ORG,Q3091708
document_110016.html,Roma,101,105,LOC,Q220
document_110016.html,Vicario,145,152,PER,Q2604
document_110016.html,Cristo,156,162,PER,Q302
document_110016.html,Roma,501,505,LOC,Q220
document_110016.html,Pio XII,541,548,PER,Q2604
document_110016.html,Chiesa,713,719,ORG,Q34651
document_110017.html,Fuci,679,683,ORG,Q3091708
document_110018.html,Roma,130,134,LOC,Q220
document_110018.html,Fuci,159,163,ORG,Q3091708
document_110018.html,Chiesa,1394,1400,ORG,Q34651
document_110020.html,Associazioni,130,142,ORG,Q3091708
document_110020.html,Fuci,409,413,ORG,Q3091708
document_110023.html,Associazioni,56,68,ORG,Q3091708
document_110023.html,Fuci,100,104,ORG,Q3091708
document_110023.html,Associazione,670,682,ORG,Q3091708
document_110024.html,Fuci,17,21,ORG,Q3091708
document_110024.html,Fuci,458,462,ORG,Q3091708
document_110024.html,Fuci,548,552,ORG,Q3091708
document_110024.html,Fuci,831,835,ORG,Q3091708
