doc_id,surface,start_pos,end_pos,type,identifier,source,valid,split
document_110001.html,Dio,729,732,PER,Q190,NER,no,train
document_110009.html,Napoli,118,124,LOC,Q2634,AMD,yes,train
document_110009.html,Jovene,110,116,PER,NIL,NER,no,train
document_110010.html,Roma,64,68,LOC,Q220,AMD,yes,train
document_110011.html,Dottrina del Fascismo,16,37,ORG,NIL,NER,no,train
document_110012.html,Mosca,165,170,LOC,Q649,AMD,yes,train
document_110013.html,Fuci,229,233,ORG,Q3091708,AMD,yes,train
document_110014.html,Fuci,49,53,ORG,Q3091708,AMD,yes,train
document_110014.html,Fuci,330,334,ORG,Q3091708,AMD,yes,train
document_110014.html,Fuci,715,719,ORG,Q3091708,AMD,yes,train
document_110014.html,Universitari,442,454,ORG,Q3091708,AMD,yes,train
document_110014.html,Consiglio Superiore,66,85,ORG,Q1054168,NER,yes,train
document_110015.html,Fuci,510,514,ORG,Q3091708,AMD,yes,train
document_110015.html,Congresso Nazionale,18,37,ORG,NIL,NER,no,train
document_110015.html,Congresso,705,714,ORG,NIL,NER,no,train
document_110015.html,Congresso,984,993,ORG,NIL,NER,no,train
document_110016.html,Assemblea,384,393,ORG,Q1053185,AMD,yes,train
document_110016.html,Ponti,572,577,PER,Q3733989,AMD,yes,train
document_110016.html,Congresso,305,314,ORG,NIL,NER,no,train
document_110016.html,Congresso,476,485,ORG,NIL,NER,no,train
document_110016.html,S.S.,523,527,ORG,NIL,NER,no,train
document_110016.html,assemblea nazionale,646,665,ORG,Q1053185,NER,no,train
document_110017.html,Fuci,21,25,ORG,Q3091708,AMD,yes,train
document_110017.html,Congresso,893,902,ORG,NIL,NER,no,train
document_110017.html,Congresso,1067,1076,ORG,NIL,NER,no,train
document_110018.html,Congresso,107,116,ORG,NIL,NER,no,train
document_110018.html,Congresso Nazionale,185,204,ORG,NIL,NER,no,train
document_110018.html,Congresso,333,342,ORG,NIL,NER,no,train
document_110018.html,Congresso,536,545,ORG,NIL,NER,no,train
document_110019.html,organizzazione,1764,1778,ORG,Q3682549,AMD,no,train
document_110019.html,Consiglio Superiore,17,36,ORG,Q1054168,NER,yes,train
document_110021.html,Fuci,25,29,ORG,Q3091708,AMD,yes,train
document_110024.html,Fuci,671,675,ORG,Q3091708,AMD,yes,train
document_110025.html,Fuci,101,105,ORG,Q3091708,AMD,yes,train
document_110025.html,Fuci,416,420,ORG,Q3091708,AMD,yes,train
document_110025.html,Segni,28,33,PER,Q1240,AMD,yes,train
document_110027.html,Presidenza Centrale,90,109,ORG,NIL,NER,no,train
document_110033.html,Universitari,274,286,ORG,Q3091708,AMD,yes,train
document_110039.html,Beati[1,140,147,PER,NIL,NER,no,train
document_110040.html,organizzazione,653,667,ORG,Q3682549,AMD,no,train
document_110043.html,Congresso Nazionale,112,131,ORG,NIL,NER,no,train
document_110045.html,Consiglio Superiore,787,806,ORG,Q1054168,NER,yes,train
document_110048.html,Fuci,25,29,ORG,Q3091708,AMD,yes,train
document_110054.html,Conferenza,758,768,ORG,NIL,NER,no,train
document_110060.html,Fuci,90,94,ORG,Q3091708,AMD,yes,train
document_110061.html,Fuci,275,279,ORG,Q3091708,AMD,yes,train
document_110061.html,città,320,325,LOC,Q3519,AMD,no,train
document_110061.html,organizzazione,253,267,ORG,Q3682549,AMD,no,train
document_110061.html,Segretariati,977,989,ORG,NIL,NER,no,train
document_110064.html,Assemblea,149,158,ORG,Q1053185,AMD,no,train
document_110064.html,Chiesa,903,909,ORG,Q34651,AMD,yes,train
document_110064.html,Ponti,1196,1201,PER,Q3733989,AMD,yes,train
document_110064.html,Universitari,102,114,ORG,Q3091708,AMD,yes,train
document_110064.html,S.S.,263,267,ORG,NIL,NER,no,train
document_110064.html,Sede Apostolica,651,666,ORG,Q159583,NER,yes,train
document_110065.html,Italia,996,1002,LOC,Q38,AMD,yes,train
document_110065.html,Universitari,709,721,ORG,Q3091708,AMD,yes,train
document_110065.html,organizzazione,1098,1112,ORG,Q3682549,AMD,no,train
document_110065.html,Sede Apostolica,222,237,ORG,Q159583,NER,yes,train
document_110065.html,Voi,243,246,PER,NIL,NER,no,train
document_110065.html,Augusta,327,334,PER,NIL,NER,no,train
document_110065.html,Augusta,497,504,PER,NIL,NER,no,train
document_110067.html,Assemblea,154,163,ORG,Q1053185,AMD,no,train
document_110067.html,organizzazione,689,703,ORG,Q3682549,AMD,no,train
document_110067.html,Albis,50,55,LOC,NIL,NER,no,train
document_110069.html,Universitari,28,40,ORG,Q3091708,AMD,yes,train
document_110069.html,comunità,652,660,ORG,Q52847,AMD,no,train
document_110069.html,Patria,164,170,PER,Q38,NER,no,train
document_110069.html,Patria,479,485,PER,Q38,NER,no,train
document_110069.html,Dio,856,859,PER,Q190,NER,no,train
document_110070.html,comunità,377,385,ORG,Q52847,AMD,no,train
document_110078.html,Radio Fascio[1,0,14,ORG,NIL,NER,no,train
document_110080.html,Italia,60,66,LOC,Q38,AMD,yes,train
document_110080.html,governo,17,24,ORG,Q3773793,NER,yes,train
document_110080.html,Governo,303,310,ORG,Q3773793,NER,no,train
document_110091.html,Governo fascista,87,103,ORG,Q3112309,NER,yes,train
document_110092.html,America,278,285,LOC,Q30,AMD,yes,train
document_110092.html,Italia,267,273,LOC,Q38,AMD,yes,train
document_110092.html,Congresso Nazionale,64,83,ORG,NIL,NER,no,train
document_110092.html,Patria,647,653,PER,Q38,NER,no,train
document_110092.html,Patria,668,674,PER,Q46,NER,no,train
document_110097.html,Roma,189,193,LOC,Q220,AMD,yes,train
document_110097.html,Radio,183,188,ORG,NIL,NER,no,train
document_110102.html,Patria,145,151,PER,Q38,NER,no,train
