doc_id,surface,start_pos,end_pos,identifier,type,alias,score
document_110005.html,Università,87,97,Q131262,ORG,Università di Bologna,123.03742218017578
document_110005.html,Fera,116,120,Q3751194,PER,Franco Cappa,147.04429626464844
document_110029.html,Associazioni,80,92,Q48204,ORG,Associazione (diritto),132.19284057617188
document_110029.html,Chiesa,383,389,Q159583,ORG,Santa Sede,119.06998443603516
document_110029.html,Universitari Cattolici,494,516,Q2120466,ORG,Università pontificie,142.53482055664062
document_110032.html,Universitari,46,58,Q691851,ORG,Università degli Studi di Napoli Federico II,126.59818267822266
document_110032.html,Associazione,131,143,Q3318304,ORG,Azione Cattolica,137.90994262695312
document_110032.html,Chiesa,602,608,Q170174,ORG,Stato Pontificio,119.11817932128906
document_110041.html,Associazione,180,192,Q790144,ORG,Avanguardia Nazionale,127.24868774414062
document_110041.html,Associazione,1109,1121,Q48204,ORG,Associazione (diritto),129.32318115234375
document_110041.html,Associazione,1159,1171,Q48204,ORG,Associazione (diritto),125.09310150146484
document_110047.html,Associazioni,179,191,Q207320,ORG,Organizzazione paramilitare,133.34103393554688
document_110057.html,Associazioni,58,70,Q48204,ORG,Associazione (diritto),124.29167175292969
document_110057.html,Associazioni,508,520,Q48204,ORG,Associazione (diritto),125.74788665771484
document_110088.html,partiti,202,209,Q2704736,ORG,Partito Radicale (Italia),120.45050048828125
document_110090.html,Presidente Roos[e]velt,27,49,Q332360,PER,Denis Healey,172.94908142089844
document_110095.html,Premier,21,28,Q192361,PER,Pascoal Ranieri Mazzilli,125.79293823242188
document_110095.html,paese,105,110,Q7275,LOC,Stato,117.74044799804688
document_110095.html,Forze Armate,676,688,Q128781,ORG,Wehrmacht,116.1201171875
document_110144.html,Padre,38,43,Q190,PER,Dio,124.2651138305664
document_110156.html,Lorenzo Barbaro,18,33,Q6680661,PER,Lorenzo Cantarello,224.55909729003906
document_110162.html,partito,194,201,Q606620,ORG,Südtiroler Volkspartei,123.92709350585938
document_110169.html,Movimento Laureati,3,21,Q338662,ORG,Caduta libera accelerata,173.0275421142578
document_110183.html,Sezione,254,261,Q5296,ORG,Pagina principale,129.53121948242188
document_110183.html,Movimento Laureati,659,677,Q55832384,ORG,Università a Milano,160.87794494628906
document_110183.html,Movimento,749,758,Q1126102,ORG,Movimento Sociale Italiano - Destra Nazionale,122.91560363769531
document_110183.html,paese,1490,1495,Q7275,LOC,Stato,113.86964416503906
