doc_id,surface,start_pos,end_pos,type,identifier
document_110005.html,Fera,116,120,PER,Q63969741
document_110029.html,Associazioni,80,92,ORG,Q3091708
document_110029.html,Chiesa,383,389,ORG,Q34651
document_110029.html,Universitari Cattolici,494,516,ORG,Q3091708
document_110032.html,Universitari,46,58,ORG,Q3091708
document_110032.html,Associazione,131,143,ORG,Q3091708
document_110032.html,Chiesa,602,608,ORG,Q34651
document_110032.html,S. Tommaso,752,762,PER,Q9438
document_110041.html,Associazione,180,192,ORG,Q3091708
document_110041.html,Associazione,1109,1121,ORG,Q3091708
document_110041.html,Associazione,1159,1171,ORG,Q3091708
document_110047.html,Associazioni,179,191,ORG,Q3091708
document_110057.html,Associazioni,58,70,ORG,Q3091708
document_110057.html,Associazioni,508,520,ORG,Q3091708
document_110095.html,Premier,21,28,PER,Q8016
document_110095.html,paese,105,110,LOC,Q38
document_110095.html,Forze Armate,676,688,ORG,Q8473
document_110095.html,paese,770,775,LOC,Q38
document_110144.html,Padre,38,43,PER,Q2604
document_110156.html,Lorenzo Barbaro,18,33,PER,Q12951532
document_110183.html,Sezione,254,261,ORG,Q3866579
document_110183.html,Movimento,749,758,ORG,Q3866579
document_110183.html,paese,1490,1495,LOC,Q38
document_110183.html,paese,1741,1746,LOC,Q38
document_110192.html,Chiesa,167,173,ORG,Q34651
document_110194.html,paese,37,42,LOC,Q38
document_110194.html,paese,86,91,LOC,Q38
document_110213.html,Laureati Cattolici,84,102,ORG,Q3866579
document_110223.html,Movimento,110,119,ORG,Q3866579
document_110226.html,Movimento,280,289,ORG,Q3866579
document_121005.html,Grassi,351,357,PER,Q2544332
document_121005.html,Cevolotto,373,382,PER,Q3848440
document_121009.html,conferenza per la pace,84,106,ORG,Q322943
document_121032.html,Lucifero,102,110,PER,Q3938910
document_121032.html,Lucifero,400,408,PER,Q3938910
document_121053.html,Presidente,89,99,PER,Q4003498
document_121063.html,Cevolotto,262,271,PER,Q3848440
document_121077.html,Cevolotto,95,104,PER,Q3848440
document_121093.html,Nobile,208,214,PER,Q291200
document_121107.html,Assemblea,1158,1167,ORG,Q1053185
document_121124.html,presidente della sottocommissione,154,187,PER,Q4003498
document_121135.html,Sullo,244,249,PER,Q3745884
document_121153.html,Röpke,4,9,PER,Q62444
document_121160.html,presidente,30,40,PER,Q4003497
document_121164.html,Presidente,24,34,PER,Q4003497
document_121164.html,Zuccarini,109,118,PER,Q50772684
document_121164.html,Assemblea,305,314,ORG,Q1053185
document_121210.html,relatore,25,33,PER,Q65496139
document_121242.html,Russo Perez,72,83,PER,Q16658125
document_121242.html,Lupis,89,94,PER,Q3770843
document_121247.html,Bertola,34,41,PER,Q3731968
document_122004.html,Marchesi,1454,1462,PER,Q3686190
document_122019.html,Pajetta,15,22,PER,Q3762932
document_122028.html,Russo,125,130,PER,Q3659814
document_122036.html,Ministro,208,216,PER,Q273228
document_122036.html,Egli,708,712,PER,Q273228
document_122053.html,Ministro,229,237,PER,Q1240
document_122071.html,Morelli,49,56,PER,Q32281802
document_131021.html,Capo provvisorio dello Stato,137,165,PER,Q1245
document_131025.html,De Rosa,208,215,PER,Q3756578
document_131025.html,Gonella,232,239,PER,Q1553555
document_131025.html,Gallo,253,258,PER,Q47491456
document_131030.html,Bonomi,34,40,PER,Q3893797
document_131030.html,Bonomi,357,363,PER,Q3893797
document_131030.html,Coltivatori Diretti,413,432,ORG,Q3682549
document_131030.html,Coltivatori Diretti,611,630,ORG,Q3682549
document_131030.html,Bonomi,991,997,PER,Q3893797
document_131055.html,Signorello,326,336,PER,Q3876364
document_131055.html,Pastore,435,442,PER,Q3769740
document_131055.html,Della Porta,652,663,PER,Q3771907
document_131079.html,Scaglia,197,204,PER,Q3766748
document_131130.html,Presidente,25,35,PER,Q273228
document_131130.html,partito comunista,538,555,ORG,Q461886
document_131143.html,partito comunista,498,515,ORG,Q461886
document_131143.html,partito comunista,740,757,ORG,Q461886
document_131160.html,Leone,71,76,PER,Q1235
document_132010.html,Salizzoni,519,528,PER,Q3617210
document_132014.html,Partito,52,59,ORG,Q815348
document_132026.html,alleanza,650,658,ORG,Q7184
document_132026.html,alleanza,905,913,ORG,Q7184
document_132035.html,sindaco,24,31,PER,Q3749537
document_132035.html,Angelini,374,382,PER,Q3749537
document_132035.html,Sparapani,439,448,PER,Q110819813
document_132035.html,Delle Fave,613,623,PER,Q4003375
document_132076.html,Presidente della Repubblica,62,89,PER,Q1240
document_132080.html,Coltivatori Diretti,37,56,ORG,Q3682549
document_132080.html,Coltivatori Diretti,156,175,ORG,Q3682549
document_132080.html,Bonomi,202,208,PER,Q3893797
document_132083.html,Almirante,1019,1028,PER,Q1236400
document_132083.html,Partito comunista,1737,1754,ORG,Q461886
document_132091.html,Presidente,7,17,PER,Q9640
document_132091.html,signora Johnson,115,130,PER,Q233648
document_132095.html,Poeta,237,242,PER,Q5679
document_132099.html,partito,171,178,ORG,Q815348
document_132099.html,partito,354,361,ORG,Q815348
document_132124.html,Stambolic,114,123,PER,Q115471
document_132127.html,Presidente,111,121,PER,Q3558039
document_132141.html,Presidente della Repubblica,3,30,PER,Q1238
document_132144.html,De Martino,760,770,PER,Q1379919
document_132144.html,Tanassi,772,779,PER,Q3849140
document_132144.html,La Malfa,781,789,PER,Q1248333
document_132147.html,Sindaco,85,92,PER,Q98446077
document_132149.html,Presidente,5,15,PER,Q155928
document_132170.html,Cancelliere Federale,7,27,PER,Q2496
document_132174.html,Presidente,178,188,PER,Q596724
document_132208.html,Origlia,221,228,PER,Q58011054
document_132214.html,Confederazione dei Coltivatori Diretti,94,132,ORG,Q3682549
document_132217.html,Presidente del Senato,548,569,PER,Q562209
document_132217.html,Gava,989,993,PER,Q1499564
document_132217.html,Lami Starnuti,999,1012,PER,Q3719089
document_132224.html,vicepresidente,46,60,PER,Q209989
document_132251.html,Presidente,99,109,PER,Q3558039
document_132263.html,Rumor,319,324,PER,Q316288
document_141002.html,Stefano Brun,103,115,PER,Q55226044
document_141002.html,Presidente,279,289,PER,Q105839097
document_141002.html,Stagni,319,325,PER,Q105839097
document_141002.html,Stefano Brun,405,417,PER,Q55226044
document_141031.html,Taviani,19,26,PER,Q1379277
document_141031.html,Gaspari,82,89,PER,Q3932481
document_141053.html,Continente,105,115,LOC,Q828
document_141058.html,Presidente,7,17,PER,Q273228
document_141058.html,Giraudo,90,97,PER,Q3767386
document_141064.html,alleanza,177,185,ORG,Q7184
document_141087.html,Italia,133,139,LOC,Q38
document_141097.html,Bruxelles,54,63,LOC,Q239
document_141108.html,Gran Bretagna,201,214,LOC,Q145
document_141111.html,Ella,73,77,PER,Q6395370
document_141120.html,Sovrano,167,174,PER,Q128245
document_141136.html,Imperatore,34,44,PER,Q41178
document_141142.html,Ella,61,65,PER,Q128976
document_141163.html,Ministro degli Esteri,303,324,PER,Q456527
document_141164.html,Ella,48,52,PER,Q452310
document_141209.html,Segretario Politico,3,22,PER,Q434786
document_141210.html,Gran Bretagna,83,96,LOC,Q145
document_141210.html,Gran Bretagna,281,294,LOC,Q145
document_141214.html,Lei,254,257,PER,Q2408989
document_141214.html,Ella,308,312,PER,Q2408989
document_141218.html,Nunzio Apostolico,54,71,PER,Q592957
document_141227.html,Vostra Eccellenza,175,192,PER,Q307237
document_141249.html,partito,1524,1531,ORG,Q815348
document_141250.html,Sindaco,25,32,PER,Q3838522
document_141261.html,Capo dello Stato,312,328,PER,Q1235
document_141261.html,regione,407,414,LOC,Q1447
document_141267.html,Governatore Generale,7,27,PER,Q356756
document_141267.html,Primo Ministro,40,54,PER,Q167307
document_141270.html,Repubblica Federale Tedesca,47,74,LOC,Q713750
document_141275.html,Presidente del Consiglio,210,234,PER,Q50005
document_141279.html,Segretario Generale,231,250,PER,Q1260
document_141279.html,organizzazione,259,273,ORG,Q1065
document_141321.html,Verde,73,78,PER,Q3659944
document_141321.html,Verde,958,963,PER,Q3659944
document_141321.html,Amendola,1191,1199,PER,Q939831
document_141321.html,Firpo,1271,1276,PER,Q169708
document_142002.html,Presidente del Consiglio,1130,1154,PER,Q50005
document_142002.html,Segretario del Partito,1216,1238,PER,Q434786
document_142005.html,Bruxelles,928,937,LOC,Q239
document_142011.html,Presidente,95,105,PER,Q3938911
document_142011.html,re Gustavo,180,190,PER,Q52878
document_142018.html,Antonio Rossano,52,67,PER,Q106152948
document_142028.html,ministro degli esteri,168,189,PER,Q57555
document_142035.html,Ella,120,124,PER,Q12960
document_142035.html,lei,283,286,PER,Q12960
document_142047.html,OUA,769,772,ORG,Q356928
document_142064.html,Presidente della Repubblica,40,67,PER,Q1235
document_142066.html,Comunità Europea,128,144,ORG,Q458
document_142066.html,Ella,244,248,PER,Q66107
document_142080.html,Primo Ministro di Australia,91,118,PER,Q23333
document_142080.html,Capo del Governo,338,354,PER,Q23333
document_142091.html,vostra eccellenza,795,812,PER,Q208301
document_142097.html,Segretario politico,60,79,PER,Q273228
document_142097.html,Segretario politico,386,405,PER,Q273228
document_142145.html,Cappi,372,377,PER,Q3770236
document_142145.html,Piccioni,386,394,PER,Q343323
document_142145.html,Gonella,403,410,PER,Q1553555
document_142145.html,Cingolani,419,428,PER,Q3848450
document_142145.html,Merlin,437,443,PER,Q3832550
document_142145.html,Tupini,452,458,PER,Q4003498
document_142145.html,Morlino,797,804,PER,Q674952
document_142145.html,Gullotti,831,839,PER,Q3619102
document_142145.html,Bisaglia,849,857,PER,Q1059394
document_142146.html,Presidente,11,21,PER,Q180195
document_142147.html,Presidente,8,18,PER,Q1233
document_142149.html,Wilson,19,25,PER,Q128956
document_142154.html,Presidente,8,18,PER,Q1233
document_142203.html,presidente del consiglio,103,127,PER,Q50005
document_142203.html,Stammati,155,163,PER,Q3757131
document_142203.html,governatore della Banca d’Italia,172,204,PER,Q1056557
document_142219.html,Scoppola,30,38,PER,Q1025467
document_142250.html,Amendola,70,78,PER,Q939831
document_142250.html,Petruccioli,89,100,PER,Q3680181
document_142250.html,Amendola,389,397,PER,Q939831
document_142250.html,Petruccioli,438,449,PER,Q3680181
document_142250.html,Amendola,632,640,PER,Q939831
