doc_id,start_pos,end_pos,type,identifier,score
document_110005.html,116,120,PER,Q3742664,-2.7351951599121094
document_110029.html,80,92,ORG,Q479048,-2.565094470977783
document_110029.html,383,389,ORG,Q9592,-2.565094470977783
document_110029.html,494,516,ORG,Q4005878,-2.565094470977783
document_110032.html,46,58,ORG,Q3918,-4.007487773895264
document_110032.html,131,143,ORG,Q48204,-4.007487773895264
document_110032.html,602,608,ORG,Q9592,-4.007487773895264
document_110032.html,752,762,PER,Q43669,-4.007487773895264
document_110041.html,180,192,ORG,Q48204,-2.449889659881592
document_110041.html,1109,1121,ORG,Q48204,-2.449889659881592
document_110041.html,1159,1171,ORG,Q48204,-2.449889659881592
document_110047.html,179,191,ORG,Q48204,-4.627818584442139
document_110057.html,58,70,ORG,Q48204,-3.2998244762420654
document_110057.html,508,520,ORG,Q48204,-3.2998244762420654
document_110095.html,21,28,PER,Q959664,-2.7261550426483154
document_110095.html,105,110,LOC,Q6256,-2.7261550426483154
document_110095.html,676,688,ORG,Q772547,-2.7261550426483154
document_110095.html,770,775,LOC,Q6256,-2.7261550426483154
document_110144.html,38,43,PER,Q186350,-6.0263285636901855
document_110156.html,18,33,PER,Q4267021,-4.573574542999268
document_110183.html,254,261,ORG,Q189171,-2.9489753246307373
document_110183.html,749,758,ORG,Q1126102,-2.9489753246307373
document_110183.html,1490,1495,LOC,Q6256,-2.9489753246307373
document_110183.html,1741,1746,LOC,Q6256,-2.9489753246307373
document_110192.html,167,173,ORG,Q9592,-2.5602989196777344
document_110194.html,37,42,LOC,Q6256,-2.5553717613220215
document_110194.html,86,91,LOC,Q6256,-2.5553717613220215
document_110213.html,84,102,ORG,Q1054679,-7.430217742919922
document_110223.html,110,119,ORG,Q1126102,-3.7165682315826416
document_110226.html,280,289,ORG,Q1126102,-2.059610605239868
document_121005.html,351,357,PER,Q65146751,-8.575119018554688
document_121005.html,373,382,PER,Q3750849,-8.575119018554688
document_121009.html,84,106,ORG,Q199820,-2.6087567806243896
document_121032.html,102,110,PER,Q185498,-2.01987361907959
document_121032.html,400,408,PER,Q185498,-2.01987361907959
document_121053.html,89,99,PER,Q332711,-1.5690255165100098
document_121063.html,262,271,PER,Q3762603,-8.305261611938477
document_121077.html,95,104,PER,Q108062,-8.731587409973145
document_121093.html,208,214,PER,Q134737,-4.639787673950195
document_121107.html,1158,1167,ORG,Q1752346,-2.4590671062469482
document_121124.html,154,187,PER,Q6360077,-4.902105808258057
document_121135.html,244,249,PER,Q30669234,-8.63870620727539
document_121153.html,4,9,PER,Q2202747,-4.035751819610596
document_121160.html,30,40,PER,Q332711,-1.5436158180236816
document_121164.html,24,34,PER,Q6360077,-1.8233813047409058
document_121164.html,109,118,PER,Q3849261,-1.8233813047409058
document_121164.html,305,314,ORG,Q1752346,-1.8233813047409058
document_121210.html,25,33,PER,Q223642,-2.379568576812744
document_121242.html,72,83,PER,Q15791504,-5.832221508026123
document_121242.html,89,94,PER,Q3840846,-5.832221508026123
document_121247.html,34,41,PER,Q3930042,-7.054659366607666
document_122004.html,1454,1462,PER,Q63050607,-5.308581352233887
document_122019.html,15,22,PER,Q3904123,-3.27064847946167
document_122028.html,125,130,PER,Q3610275,-2.1967079639434814
document_122036.html,208,216,PER,Q83307,-5.1183695793151855
document_122036.html,708,712,PER,Q1298102,-5.1183695793151855
document_122053.html,229,237,PER,Q83307,-4.34529447555542
document_122071.html,49,56,PER,Q923703,-4.833037853240967
document_131021.html,137,165,PER,Q3657214,-3.784792900085449
document_131025.html,208,215,PER,Q21189003,-4.541412353515625
document_131025.html,232,239,PER,Q18564629,-4.541412353515625
document_131025.html,253,258,PER,Q3608314,-4.541412353515625
document_131030.html,34,40,PER,Q2609758,-2.4187021255493164
document_131030.html,357,363,PER,Q410385,-2.4187021255493164
document_131030.html,413,432,ORG,Q3683769,-2.4187021255493164
document_131030.html,611,630,ORG,Q3683769,-2.4187021255493164
document_131030.html,991,997,PER,Q410385,-2.4187021255493164
document_131055.html,326,336,PER,Q175566,-2.84354567527771
document_131055.html,435,442,PER,Q302314,-2.84354567527771
document_131055.html,652,663,PER,Q334154,-2.84354567527771
document_131079.html,197,204,PER,Q589698,-8.114078521728516
document_131130.html,25,35,PER,Q332711,-2.664921283721924
document_131130.html,538,555,ORG,Q233591,-2.664921283721924
document_131143.html,498,515,ORG,Q233591,-2.46505069732666
document_131143.html,740,757,ORG,Q233591,-2.46505069732666
document_131160.html,71,76,PER,Q164562,-1.8645373582839966
document_132010.html,519,528,PER,Q3769787,-9.449708938598633
document_132014.html,52,59,ORG,Q7278,-3.285320520401001
document_132026.html,650,658,ORG,Q878249,-4.768697738647461
document_132026.html,905,913,ORG,Q878249,-4.768697738647461
document_132035.html,24,31,PER,Q30185,-4.153573513031006
document_132035.html,374,382,PER,Q3938571,-4.153573513031006
document_132035.html,439,448,PER,Q41125933,-4.153573513031006
document_132035.html,613,623,PER,Q57305,-4.153573513031006
document_132076.html,62,89,PER,Q248577,-2.623180627822876
document_132080.html,37,56,ORG,Q3683769,-2.7523386478424072
document_132080.html,156,175,ORG,Q3683769,-2.7523386478424072
document_132080.html,202,208,PER,Q2609758,-2.7523386478424072
document_132083.html,1019,1028,PER,Q2649709,-2.525747060775757
document_132083.html,1737,1754,ORG,Q233591,-2.525747060775757
document_132091.html,7,17,PER,Q11696,-8.933666229248047
document_132091.html,115,130,PER,Q9640,-8.933666229248047
document_132095.html,237,242,PER,Q49757,-3.9970757961273193
document_132099.html,171,178,ORG,Q7278,-3.385582208633423
document_132099.html,354,361,ORG,Q7278,-3.385582208633423
document_132124.html,114,123,PER,Q313535,-4.524753570556641
document_132127.html,111,121,PER,Q30461,-11.69100570678711
document_132141.html,3,30,PER,Q332711,-2.917201280593872
document_132144.html,760,770,PER,Q2755221,-7.726505279541016
document_132144.html,772,779,PER,Q5565224,-7.726505279541016
document_132144.html,781,789,PER,Q2093000,-7.726505279541016
document_132147.html,85,92,PER,Q30185,-3.3262112140655518
document_132149.html,5,15,PER,Q30461,-4.117853164672852
document_132170.html,7,27,PER,Q4970706,-3.041818380355835
document_132174.html,178,188,PER,Q30461,-3.429039239883423
document_132208.html,221,228,PER,Q17637750,-3.2952914237976074
document_132214.html,94,132,ORG,Q1125309,-8.248636245727539
document_132217.html,548,569,PER,Q7477985,-8.9968900680542
