doc_id,surface,start_pos,end_pos,type,identifier
https://digitalzibaldone.net/node/p1012_2,Andrès,243,249,PER,Q2758559
https://digitalzibaldone.net/node/p1012_2,Roma,276,280,LOC,Q1747689
https://digitalzibaldone.net/node/p1012_2,Andrès,540,546,PER,Q2758559
https://digitalzibaldone.net/node/p1023_2,impero greco,52,64,LOC,Q2497438
https://digitalzibaldone.net/node/p1023_2,Cic.,251,255,PER,Q1541
https://digitalzibaldone.net/node/p1023_2,Andrès,425,431,PER,Q2758559
https://digitalzibaldone.net/node/p1037_1,᾽Eπιτάϕιος,40,50,WORK,Q5256369
https://digitalzibaldone.net/node/p1040_1,Grecia,280,286,LOC,Q11772
https://digitalzibaldone.net/node/p1040_1,Sicilia,721,728,LOC,Q1460
https://digitalzibaldone.net/node/p1040_1,Gallie,740,746,LOC,Q38060
https://digitalzibaldone.net/node/p1042_2,Roma,432,436,LOC,Q1747689
https://digitalzibaldone.net/node/p1042_2,Roma,622,626,LOC,Q1747689
https://digitalzibaldone.net/node/p1045_2,Andrès,804,810,PER,Q2758559
https://digitalzibaldone.net/node/p1048_2,Castelvetro,902,913,PER,Q936665
https://digitalzibaldone.net/node/p1049_1,Orazio,300,306,PER,Q6197
https://digitalzibaldone.net/node/p1052_3,Cic.,59,63,PER,Q1541
https://digitalzibaldone.net/node/p1054_2,Sulzer,146,152,PER,Q116036
https://digitalzibaldone.net/node/p1054_2,Forcellini,330,340,WORK,Q15851274
https://digitalzibaldone.net/node/p1054_2,Saggio sugli Errori popol. degli antichi,347,387,WORK,viaf6764165271301010690009
https://digitalzibaldone.net/node/p1055_2,Soave,128,133,PER,Q3081091
https://digitalzibaldone.net/node/p1104_1,Franciosini,502,513,PER,Q1767444
https://digitalzibaldone.net/node/p1104_1,la Crusca,650,659,WORK,Q4015911
https://digitalzibaldone.net/node/p1105_1,il Forcellini.,234,248,WORK,Q15851274
https://digitalzibaldone.net/node/p1105_3,Aen.,260,264,WORK,Q60220
https://digitalzibaldone.net/node/p1105_3,lido Siciliano,313,327,LOC,Q4951156
https://digitalzibaldone.net/node/p1105_3,En.,1017,1020,WORK,Q60220
https://digitalzibaldone.net/node/p1139_1,Servius,758,765,PER,Q355350
https://digitalzibaldone.net/node/p1139_1,ad Aen.,766,773,WORK,Q87763749
https://digitalzibaldone.net/node/p1139_1,Fabric.,793,800,PER,Q61894
https://digitalzibaldone.net/node/p1139_1,B. G.,801,806,WORK,Q20552068
https://digitalzibaldone.net/node/p1139_1,Hofmanno,839,847,PER,Q117120
https://digitalzibaldone.net/node/p1148_1,Forcellini,28,38,PER,Q550353
https://digitalzibaldone.net/node/p1217_1,Vocabolario,57,68,WORK,Q4015911
https://digitalzibaldone.net/node/p1230_1,Forcellini,23,33,PER,Q550353
https://digitalzibaldone.net/node/p1230_1,Crusca,162,168,WORK,Q4015911
https://digitalzibaldone.net/node/p1230_1,Soderini,203,211,PER,Q1102344
https://digitalzibaldone.net/node/p1230_1,Crusca,458,464,WORK,Q4015911
https://digitalzibaldone.net/node/p1230_1,M. Pace da Certaldo,528,547,PER,Q108910979
https://digitalzibaldone.net/node/p1230_1,Lettera a V. Monti,771,789,WORK,zibbibl144
https://digitalzibaldone.net/node/p1230_1,Crusca,870,876,WORK,Q4015911
https://digitalzibaldone.net/node/p1230_1,Crusca,983,989,WORK,Q4015911
https://digitalzibaldone.net/node/p1230_1,Crusca,1094,1100,WORK,Q4015911
https://digitalzibaldone.net/node/p1230_1,Il Du Cange,1147,1158,WORK,Q1240983
https://digitalzibaldone.net/node/p1290_1,Morery,731,737,PER,Q1871889
https://digitalzibaldone.net/node/p1290_1,Grand dictionnaire historique,739,768,WORK,Q21625389
https://digitalzibaldone.net/node/p1290_1,Calmet,795,801,PER,Q767668
https://digitalzibaldone.net/node/p1290_1,Prideaux,807,815,PER,Q5941597
https://digitalzibaldone.net/node/p1290_1,Vossio,821,827,PER,Q3112766
https://digitalzibaldone.net/node/p1302_1,Gravina,910,917,PER,Q727363
https://digitalzibaldone.net/node/p1313_1,Proposta,239,247,WORK,Q42194678
https://digitalzibaldone.net/node/p1329_1,Lancetti,356,364,PER,Q15710981
https://digitalzibaldone.net/node/p1329_1,Proposta,380,388,WORK,Q42194678
https://digitalzibaldone.net/node/p1350_1,Sulzer,163,169,PER,Q116036
https://digitalzibaldone.net/node/p1366_1,Petr.,21,26,PER,Q1401
https://digitalzibaldone.net/node/p1366_1,Bocc.,27,32,PER,Q1402
https://digitalzibaldone.net/node/p1366_1,Grecia,323,329,LOC,Q11772
https://digitalzibaldone.net/node/p1366_1,Proposta,590,598,WORK,Q42194678
https://digitalzibaldone.net/node/p1378_1,Gelli,721,726,PER,Q518160
https://digitalzibaldone.net/node/p1378_1,Circe,728,733,WORK,viaf313377890
https://digitalzibaldone.net/node/p1378_1,Segneri,790,797,PER,Q1057722
