doc_id,surface,start_pos,end_pos,type,identifier
document_110005.html,Fera,139,143,PER,Q63969741
document_110021.html,Universitari Italiani di A.C.,77,106,ORG,Q3091708
document_110032.html,Universitari,66,78,ORG,Q3091708
document_110032.html,Associazione,151,163,ORG,Q3091708
document_110032.html,Chiesa,622,628,ORG,Q34651
document_110043.html,Associazioni,185,197,ORG,Q3091708
document_110048.html,Universitari Italiani di A. C.,79,109,ORG,Q3091708
document_110088.html,partiti,233,240,ORG,Q7278
document_110111.html,Chiesa,99,105,ORG,Q34651
document_110132.html,Università,49,59,ORG,Q3918
document_110147.html,Nord,138,142,LOC,Q4345530
document_110165.html,Nenni,73,78,PER,Q539486
document_110169.html,Movimento Laureati,21,39,ORG,Q3866579
document_110170.html,paese,103,108,LOC,Q38
document_110183.html,Sezione,283,290,ORG,Q3866579
document_110183.html,Movimento Laureati,688,706,ORG,Q3866579
document_110183.html,Movimento,778,787,ORG,Q3866579
document_110183.html,paese,1519,1524,LOC,Q38
document_110183.html,Movimento Laureati,1668,1686,ORG,Q3866579
document_110186.html,Autore,90,96,PER,Q168431
document_110199.html,Movimento,652,661,ORG,Q3866579
document_110234.html,Laureati Cattolici,118,136,ORG,Q3866579
document_110234.html,Movimento,186,195,ORG,Q3866579
document_110234.html,A.C.I.,368,374,ORG,Q3318304
document_110234.html,Movimento,400,409,ORG,Q3866579
document_121005.html,Grassi,407,413,PER,Q2544332
document_121005.html,Basso,418,423,PER,Q3229281
document_121009.html,conferenza per la pace,124,146,ORG,Q322943
document_121021.html,Basso,423,428,PER,Q3229281
document_121032.html,Lucifero,199,207,PER,Q3938910
document_121032.html,Lucifero,497,505,PER,Q3938910
document_121034.html,Basso,143,148,PER,Q3229281
document_121053.html,Presidente,119,129,PER,Q4003498
document_121060.html,Basso,168,173,PER,Q3229281
document_121092.html,Nobile,131,137,PER,Q291200
document_121092.html,Lussu,277,282,PER,Q694799
document_121093.html,Nobile,232,238,PER,Q291200
document_121097.html,commissione dei 75,63,81,ORG,Q3684787
document_121097.html,Chiesa,120,126,ORG,Q34651
document_121107.html,Assemblea costituente,80,101,ORG,Q1053185
document_121107.html,commissione dei settantacinque,202,232,ORG,Q3684787
document_121107.html,Assemblea,1199,1208,ORG,Q1053185
document_121135.html,Sullo,277,282,PER,Q3745884
document_121137.html,Costituente,16,27,ORG,Q1900755
document_121137.html,Chiesa,255,261,ORG,Q34651
document_121160.html,presidente,80,90,PER,Q4003497
document_121161.html,Presidente,57,67,PER,Q4003497
document_121161.html,Lussu,440,445,PER,Q694799
document_121161.html,Lussu,478,483,PER,Q694799
document_121161.html,Targetti,689,697,PER,Q3742688
document_121161.html,Presidente,892,902,PER,Q4003497
document_121164.html,Presidente,74,84,PER,Q4003497
document_121164.html,Assemblea,355,364,ORG,Q1053185
document_121201.html,Cremaschi,1358,1367,PER,Q3659225
document_121225.html,Comune,54,60,LOC,Q3519
document_121235.html,Chiesa,197,203,ORG,Q34651
document_121235.html,Chiesa,664,670,ORG,Q34651
document_121247.html,Bertola,92,99,PER,Q3731968
document_122004.html,Marchesi,1588,1596,PER,Q3686190
document_122028.html,Russo,198,203,PER,Q3659814
document_122036.html,Ministro,268,276,PER,Q273228
document_122036.html,Egli,768,772,PER,Q273228
document_122053.html,Ministro,284,292,PER,Q1240
document_122071.html,Morelli,91,98,PER,Q32281802
document_131008.html,D.C.,194,198,ORG,Q815348
document_131010.html,D.C.,92,96,ORG,Q815348
document_131019.html,Salizzoni,99,108,PER,Q3617210
document_131019.html,Laura,355,360,PER,Q16554335
document_131021.html,Capo provvisorio dello Stato,184,212,PER,Q1245
document_131025.html,De Rosa,234,241,PER,Q3756578
document_131025.html,Gallo,279,284,PER,Q47491456
document_131030.html,Bonomi,82,88,PER,Q3893797
document_131030.html,Bonomi,405,411,PER,Q3893797
document_131030.html,Coltivatori Diretti,461,480,ORG,Q3682549
document_131030.html,D.C.,486,490,ORG,Q815348
document_131030.html,Coltivatori Diretti,659,678,ORG,Q3682549
document_131030.html,Bonomi,1039,1045,PER,Q3893797
document_131055.html,Pastore,525,532,PER,Q3769740
