doc_id,surface,start_pos,end_pos,identifier,type,alias,score
document_110005.html,Fera,139,143,Q3751194,PER,Franco Cappa,143.271240234375
document_110021.html,Universitari Italiani di A.C.,77,106,Q131262,ORG,Università di Bologna,212.68028259277344
document_110032.html,Universitari,66,78,Q131262,ORG,Università di Bologna,129.93063354492188
document_110032.html,Associazione,151,163,Q3318304,ORG,Azione Cattolica,135.44082641601562
document_110032.html,Chiesa,622,628,Q170174,ORG,Stato Pontificio,117.33397674560547
document_110043.html,Associazioni,185,197,Q48204,ORG,Associazione (diritto),129.44366455078125
document_110048.html,Universitari Italiani di A. C.,79,109,Q131262,ORG,Università di Bologna,216.78472900390625
document_110088.html,partiti,233,240,Q2704736,ORG,Partito Radicale (Italia),122.67909240722656
document_110111.html,Chiesa,99,105,Q170174,ORG,Stato Pontificio,117.15800476074219
document_110132.html,Università,49,59,Q499911,ORG,Università degli Studi di Torino,117.60203552246094
document_110147.html,Nord,138,142,Q47750,LOC,Lega Nord,119.93855285644531
document_110165.html,Nenni,73,78,Q103081,PER,Chianni,150.6462860107422
document_110169.html,Movimento Laureati,21,39,Q727837,ORG,Movimento dei focolari,167.76873779296875
document_110170.html,paese,103,108,Q7275,LOC,Stato,115.01222229003906
document_110183.html,Sezione,283,290,Q153660,ORG,Repubblica Sociale Italiana,131.58216857910156
document_110183.html,Movimento Laureati,688,706,Q55832384,ORG,Università a Milano,160.87794494628906
document_110183.html,Movimento,778,787,Q1126102,ORG,Movimento Sociale Italiano - Destra Nazionale,122.91560363769531
document_110183.html,paese,1519,1524,Q7275,LOC,Stato,113.86964416503906
document_110183.html,Movimento Laureati,1668,1686,Q3866583,ORG,Movimento Gen,151.68060302734375
document_110186.html,Autore,90,96,Q165534,PER,Carlo Goldoni,115.65709686279297
document_110199.html,Movimento,652,661,Q706633,ORG,Resistenza italiana,122.14808654785156
document_110234.html,Laureati Cattolici,118,136,Q662862,ORG,Ordine sacro,163.4268798828125
document_110234.html,Movimento,186,195,Q727837,ORG,Movimento dei focolari,123.422607421875
document_110234.html,A.C.I.,368,374,Q3091708,ORG,Federazione universitaria cattolica italiana,171.9738311767578
document_110234.html,Movimento,400,409,Q727837,ORG,Movimento dei focolari,126.28807067871094
document_121005.html,Grassi,407,413,Q47583,PER,Gianfranco Fini,140.6451873779297
document_121005.html,Basso,418,423,Q3619753,PER,Antonio Leopoldo Basso,146.03684997558594
document_121009.html,conferenza per la pace,124,146,Q2314717,ORG,Trattato di Parigi fra l'Italia e le potenze alleate,152.68653869628906
document_121021.html,Basso,423,428,Q3619753,PER,Antonio Leopoldo Basso,141.71412658691406
document_121032.html,Lucifero,199,207,Q171834,PER,Aldo Moro,143.15594482421875
document_121032.html,Lucifero,497,505,Q42544,PER,Tommaso Moro,146.5506591796875
document_121034.html,Basso,143,148,Q3619753,PER,Antonio Leopoldo Basso,138.771728515625
document_121053.html,Presidente,119,129,Q9696,PER,John Fitzgerald Kennedy,116.98971557617188
document_121060.html,Basso,168,173,Q3619753,PER,Antonio Leopoldo Basso,141.03103637695312
document_121092.html,Nobile,131,137,Q3733956,PER,Ettore Lombardo Pellegrino,175.71884155273438
document_121092.html,Lussu,277,282,Q1179963,PER,Joyce Lussu,138.39447021484375
document_121093.html,Nobile,232,238,Q123432,PER,Aristocrazia,120.8782958984375
document_121097.html,commissione dei 75,63,81,Q21403297,ORG,Commissione Moro,183.37579345703125
document_121097.html,Chiesa,120,126,Q170174,ORG,Stato Pontificio,123.70992279052734
document_121107.html,Assemblea costituente,80,101,Q47423,ORG,Assemblea generale delle Nazioni Unite,138.50128173828125
document_121107.html,commissione dei settantacinque,202,232,Q21403297,ORG,Commissione Moro,219.6951904296875
document_121107.html,Assemblea,1199,1208,Q47423,ORG,Assemblea generale delle Nazioni Unite,120.14993286132812
document_121135.html,Sullo,277,282,Q3454848,PER,Referendum costituzionale in Italia del 2006,164.67288208007812
document_121137.html,Costituente,16,27,Q3826351,ORG,Referente,145.89236450195312
document_121137.html,Chiesa,255,261,Q159583,ORG,Santa Sede,115.68917083740234
document_121160.html,presidente,80,90,Q11696,PER,Presidente degli Stati Uniti d'America,118.91636657714844
document_121161.html,Presidente,57,67,Q11696,PER,Presidente degli Stati Uniti d'America,112.79617309570312
document_121161.html,Lussu,440,445,Q1179963,PER,Joyce Lussu,146.15150451660156
document_121161.html,Lussu,478,483,Q1179963,PER,Joyce Lussu,142.78514099121094
document_121161.html,Targetti,689,697,Q3929607,PER,Raimondo Targetti,166.38087463378906
document_121161.html,Presidente,892,902,Q152474,PER,Rafael Leónidas Trujillo,122.87594604492188
document_121164.html,Presidente,74,84,Q256036,PER,Capi di Stato della Jugoslavia,120.40382385253906
document_121164.html,Assemblea,355,364,Q47423,ORG,Assemblea generale delle Nazioni Unite,126.51234436035156
