doc_id,surface,start_pos,end_pos,identifier,type,alias,score
document_110003.html,Italia,355,361,Q38,LOC,Italia,105.19461059570312
document_110005.html,Università,110,120,Q3918,ORG,Università,123.52802276611328
document_110005.html,Italia,208,214,Q38,LOC,Italia,102.60213470458984
document_110021.html,Università,143,153,Q3918,ORG,Università,118.65060424804688
document_110032.html,Tommaso d’Aquino,44,60,Q9438,PER,Tommaso d'Aquino,167.62844848632812
document_110032.html,Azione Cattolica,82,98,Q3318304,ORG,Azione Cattolica,158.52713012695312
document_110032.html,San Tommaso,208,219,Q9438,PER,Tommaso d'Aquino,137.33995056152344
document_110032.html,S. Tommaso,772,782,Q9438,PER,Tommaso d'Aquino,132.22848510742188
document_110033.html,Università Cattolica,46,66,Q229022,ORG,Università Cattolica del Sacro Cuore,156.59439086914062
document_110033.html,Italia,135,141,Q38,LOC,Italia,102.13179016113281
document_110033.html,Azione Cattolica,319,335,Q3318304,ORG,Azione Cattolica,148.9842529296875
document_110033.html,Azione Cattolica,526,542,Q3318304,ORG,Azione Cattolica,138.8304443359375
document_110033.html,Università,701,711,Q3918,ORG,Università,117.93011474609375
document_110035.html,Italia,114,120,Q38,LOC,Italia,103.1491470336914
document_110035.html,paese,310,315,Q38,LOC,Italia,107.43147277832031
document_110043.html,Roma,100,104,Q220,LOC,Roma,109.11225891113281
document_110048.html,Università,146,156,Q3918,ORG,Università,118.61690521240234
document_110058.html,Fuci,103,107,Q3091708,ORG,Federazione universitaria cattolica italiana,164.1181640625
document_110080.html,Badoglio,333,341,Q200085,PER,Pietro Badoglio,130.29486083984375
document_110080.html,paese,368,373,Q38,LOC,Italia,110.1789321899414
document_110088.html,democrazia cristiana,936,956,Q815348,ORG,Democrazia Cristiana,127.694580078125
document_110088.html,Pio XII,1614,1621,Q2604,PER,Papa Pio XII,142.16946411132812
document_110091.html,Atlantico,52,61,Q97,LOC,Oceano Atlantico,113.42708587646484
document_110096.html,Italia,68,74,Q38,LOC,Italia,102.98907470703125
document_110111.html,Italia,63,69,Q38,LOC,Italia,103.39945220947266
document_110118.html,Carlo Rosselli,71,85,Q611927,PER,Carlo Rosselli,179.1304931640625
document_110120.html,Italia,88,94,Q38,LOC,Italia,102.53642272949219
document_110120.html,Italia,554,560,Q38,LOC,Italia,104.61044311523438
document_110137.html,Alberto Savinio,69,84,Q691973,PER,Alberto Savinio,231.63035583496094
document_110139.html,Tunisia,218,225,Q948,LOC,Tunisia,106.14085388183594
document_110139.html,Italia,348,354,Q38,LOC,Italia,102.72171020507812
document_110141.html,Italia,73,79,Q38,LOC,Italia,103.97090148925781
document_110147.html,partiti,42,49,Q7278,ORG,Partito politico,128.60906982421875
document_110147.html,Italia,127,133,Q38,LOC,Italia,106.95120239257812
document_110147.html,Roma,320,324,Q220,LOC,Roma,104.875732421875
document_110147.html,Milano,377,383,Q490,LOC,Milano,105.78781127929688
document_110147.html,Milano,385,391,Q490,LOC,Milano,107.71624755859375
document_110158.html,Roma,101,105,Q220,LOC,Roma,108.34532165527344
document_110158.html,Italia,129,135,Q38,LOC,Italia,106.45408630371094
document_110158.html,Roma,354,358,Q220,LOC,Roma,106.28424072265625
document_110162.html,partito,212,219,Q7278,ORG,Partito politico,122.2182388305664
document_110162.html,Italia,320,326,Q38,LOC,Italia,105.01119232177734
document_110169.html,Azione Cattolica,54,70,Q3318304,ORG,Azione Cattolica,165.37283325195312
document_110183.html,Italia,505,511,Q38,LOC,Italia,103.39899444580078
document_110183.html,Azione Cattolica,1645,1661,Q3318304,ORG,Azione Cattolica,123.73411560058594
document_110183.html,paese,1770,1775,Q38,LOC,Italia,112.5875244140625
document_110185.html,partiti,159,166,Q7278,ORG,Partito politico,123.51536560058594
document_110185.html,Italia,298,304,Q38,LOC,Italia,104.13876342773438
document_110186.html,Silone,57,63,Q168431,PER,Ignazio Silone,136.38072204589844
document_110186.html,Silone,446,452,Q168431,PER,Ignazio Silone,131.8450164794922
document_110193.html,Umberto Calosso,93,108,Q4003345,PER,Umberto Calosso,172.37973022460938
document_110197.html,Mezzogiorno,319,330,Q207989,LOC,Mezzogiorno (Italia),127.5064697265625
document_110197.html,Italia,333,339,Q38,LOC,Italia,102.91381072998047
document_110199.html,Italia,264,270,Q38,LOC,Italia,102.20149230957031
document_110199.html,Roma,468,472,Q220,LOC,Roma,111.2197036743164
document_110199.html,FUCI,541,545,Q3091708,ORG,Federazione universitaria cattolica italiana,152.11056518554688
document_110218.html,Arturo Carlo Jemolo,16,35,Q3624507,PER,Arturo Carlo Jemolo,229.74264526367188
document_110218.html,Firenze,100,107,Q2044,LOC,Firenze,111.05528259277344
document_110218.html,Jemolo,312,318,Q3624507,PER,Arturo Carlo Jemolo,147.04054260253906
document_110234.html,Roma,77,81,Q220,LOC,Roma,110.63290405273438
document_121001.html,Italia,77,83,Q38,LOC,Italia,103.14778900146484
document_121005.html,Cevolotto,429,438,Q3848440,PER,Mario Cevolotto,151.78997802734375
document_121007.html,Assemblea costituente italiana,117,147,Q1053185,ORG,Assemblea Costituente (Italia),174.90521240234375
document_121021.html,La Pira,394,401,Q543393,PER,Giorgio La Pira,164.58737182617188
document_121063.html,Togliatti,220,229,Q310158,PER,Palmiro Togliatti,117.86593627929688
document_121063.html,Cevolotto,372,381,Q3848440,PER,Mario Cevolotto,140.63552856445312
document_121081.html,Chiesa,57,63,Q34651,ORG,Chiesa (comunità),121.56492614746094
document_121081.html,Assemblea costituente,141,162,Q1053185,ORG,Assemblea Costituente (Italia),135.64175415039062
document_121092.html,Terracini,116,125,Q4003497,PER,Umberto Terracini,157.66921997070312
document_121093.html,Consulta araldica,684,701,Q1822839,ORG,Consulta araldica,171.22018432617188
document_121105.html,Roma,94,98,Q220,LOC,Roma,106.13975524902344
document_121107.html,Assemblea costituente,284,305,Q1053185,ORG,Assemblea Costituente (Italia),139.43101501464844
document_121161.html,Lussu,806,811,Q694799,PER,Emilio Lussu,137.95645141601562
document_121164.html,Zuccarini,159,168,Q50772684,PER,Oliviero Zuccarini,153.81649780273438
document_121164.html,Gronchi,255,262,Q1241,PER,Giovanni Gronchi,153.58343505859375
document_121180.html,Assemblea costituente,93,114,Q1053185,ORG,Assemblea Costituente (Italia),145.1254425048828
document_121187.html,Italia,723,729,Q38,LOC,Italia,103.66075134277344
document_121194.html,Riccardo Bauer,115,129,Q3430358,PER,Riccardo Bauer,203.2954559326172
document_121198.html,Italia,166,172,Q38,LOC,Italia,104.53671264648438
document_121207.html,Italia,359,365,Q38,LOC,Italia,102.85039520263672
