doc_id,start_pos,end_pos,type,identifier,score
document_110003.html,355,361,LOC,Q38,-2.465686082839966
document_110005.html,110,120,ORG,Q3918,-3.7590830326080322
document_110005.html,208,214,LOC,Q38,-3.7590830326080322
document_110021.html,143,153,ORG,Q3918,-1.608359456062317
document_110032.html,44,60,PER,Q9438,-4.007487773895264
document_110032.html,82,98,ORG,Q3318304,-4.007487773895264
document_110032.html,208,219,PER,Q9438,-4.007487773895264
document_110033.html,46,66,ORG,Q229022,-3.02017879486084
document_110033.html,135,141,LOC,Q38,-3.02017879486084
document_110033.html,319,335,ORG,Q3318304,-3.02017879486084
document_110033.html,526,542,ORG,Q3318304,-3.02017879486084
document_110033.html,701,711,ORG,Q3918,-3.02017879486084
document_110035.html,114,120,LOC,Q38,-2.665093421936035
document_110043.html,100,104,LOC,Q220,-4.62825870513916
document_110048.html,146,156,ORG,Q3918,-1.4510709047317505
document_110058.html,103,107,ORG,Q3091708,-5.316975116729736
document_110080.html,333,341,PER,Q200085,-2.6945106983184814
document_110088.html,233,240,ORG,Q7278,-3.3687386512756348
document_110088.html,936,956,ORG,Q815348,-3.3687386512756348
document_110088.html,1614,1621,PER,Q2604,-3.3687386512756348
document_110091.html,52,61,LOC,Q97,-2.956760883331299
document_110096.html,68,74,LOC,Q38,-2.7255587577819824
document_110111.html,63,69,LOC,Q38,-2.2280728816986084
document_110118.html,71,85,PER,Q611927,-0.07139092683792114
document_110120.html,88,94,LOC,Q38,-2.4395101070404053
document_110120.html,554,560,LOC,Q38,-2.4395101070404053
document_110132.html,49,59,ORG,Q3918,-1.891394019126892
document_110137.html,69,84,PER,Q691973,-0.04841265082359314
document_110139.html,218,225,LOC,Q948,-2.39438796043396
document_110139.html,348,354,LOC,Q38,-2.39438796043396
document_110141.html,73,79,LOC,Q38,-3.08376145362854
document_110147.html,42,49,ORG,Q7278,-3.0819766521453857
document_110147.html,127,133,LOC,Q38,-3.0819766521453857
document_110147.html,138,142,LOC,Q4345530,-3.0819766521453857
document_110147.html,320,324,LOC,Q220,-3.0819766521453857
document_110147.html,377,383,LOC,Q490,-3.0819766521453857
document_110147.html,385,391,LOC,Q490,-3.0819766521453857
document_110158.html,101,105,LOC,Q220,-4.87043571472168
document_110158.html,129,135,LOC,Q38,-4.87043571472168
document_110158.html,354,358,LOC,Q220,-4.87043571472168
document_110162.html,212,219,ORG,Q7278,-2.1134536266326904
document_110162.html,320,326,LOC,Q38,-2.1134536266326904
document_110165.html,73,78,PER,Q539486,-0.12255655229091644
document_110169.html,21,39,ORG,Q3866579,-5.096201419830322
document_110169.html,54,70,ORG,Q3318304,-5.096201419830322
document_110183.html,505,511,LOC,Q38,-2.9489753246307373
document_110183.html,688,706,ORG,Q3866579,-2.9489753246307373
document_110183.html,1645,1661,ORG,Q3318304,-2.9489753246307373
document_110183.html,1668,1686,ORG,Q3866579,-2.9489753246307373
document_110185.html,159,166,ORG,Q7278,-3.6374526023864746
document_110185.html,298,304,LOC,Q38,-3.6374526023864746
document_110186.html,57,63,PER,Q168431,-2.080819606781006
document_110186.html,446,452,PER,Q168431,-2.080819606781006
document_110193.html,93,108,PER,Q4003345,-6.682331562042236
document_110197.html,319,330,LOC,Q207989,-3.657026767730713
document_110197.html,333,339,LOC,Q38,-3.657026767730713
document_110199.html,264,270,LOC,Q38,-2.348520278930664
document_110199.html,468,472,LOC,Q220,-2.348520278930664
document_110199.html,541,545,ORG,Q3091708,-2.348520278930664
document_110218.html,16,35,PER,Q3624507,-15.34385871887207
document_110218.html,100,107,LOC,Q2044,-15.34385871887207
document_110218.html,312,318,PER,Q3624507,-15.34385871887207
document_110234.html,77,81,LOC,Q220,-3.515817165374756
document_121001.html,77,83,LOC,Q38,-4.13859748840332
document_121005.html,418,423,PER,Q3229281,-8.530691146850586
document_121007.html,117,147,ORG,Q1053185,-3.0708515644073486
document_121021.html,394,401,PER,Q543393,-3.947880268096924
document_121021.html,423,428,PER,Q3229281,-3.947880268096924
document_121034.html,143,148,PER,Q3229281,-0.8041999340057373
document_121060.html,168,173,PER,Q3229281,-0.9004611372947693
document_121063.html,220,229,PER,Q310158,-9.718147277832031
document_121081.html,141,162,ORG,Q1053185,-2.571179151535034
document_121092.html,116,125,PER,Q4003497,-0.8563944101333618
document_121092.html,131,137,PER,Q291200,-0.8563944101333618
document_121092.html,277,282,PER,Q694799,-0.8563944101333618
document_121093.html,684,701,ORG,Q1822839,-4.639787673950195
document_121105.html,94,98,LOC,Q220,-5.125105857849121
document_121107.html,80,101,ORG,Q1053185,-2.4590671062469482
document_121107.html,202,232,ORG,Q3684787,-2.4590671062469482
document_121107.html,284,305,ORG,Q1053185,-2.4590671062469482
document_121161.html,440,445,PER,Q694799,-1.6551437377929688
document_121161.html,478,483,PER,Q694799,-1.6551437377929688
document_121161.html,689,697,PER,Q3742688,-1.6551437377929688
document_121161.html,806,811,PER,Q694799,-1.6551437377929688
document_121164.html,255,262,PER,Q1241,-2.906463146209717
document_121180.html,93,114,ORG,Q1053185,-2.616790771484375
document_121187.html,723,729,LOC,Q38,-2.820101261138916
document_121194.html,115,129,PER,Q3430358,-9.74386978149414
document_121198.html,166,172,LOC,Q38,-3.679666757583618
document_121207.html,359,365,LOC,Q38,-4.568970680236816
document_121218.html,204,221,ORG,Q3744601,-3.473628282546997
document_121225.html,273,277,ORG,Q3091708,-2.6433298587799072
document_121235.html,50,56,ORG,Q34651,-3.1555356979370117
document_121235.html,664,670,ORG,Q34651,-3.1555356979370117
document_121239.html,141,184,ORG,Q3963401,-4.647857666015625
document_121239.html,533,539,LOC,Q38,-4.647857666015625
document_122036.html,194,201,PER,Q273228,-5.1183695793151855
document_122036.html,630,637,PER,Q273228,-5.1183695793151855
document_122041.html,503,513,PER,Q153832,-2.9190428256988525
document_122048.html,192,201,PER,Q310158,-3.9096200466156006
document_122048.html,232,241,PER,Q310158,-3.9096200466156006
document_122061.html,181,201,ORG,Q815348,-3.787795066833496
document_122077.html,139,141,ORG,Q815348,-3.458761215209961
document_122077.html,175,177,ORG,Q815348,-3.458761215209961
document_131008.html,101,108,LOC,Q1460,-3.653350830078125
document_131008.html,194,198,ORG,Q815348,-3.653350830078125
document_131010.html,92,96,ORG,Q815348,-5.688939571380615
document_131010.html,349,375,ORG,Q52847,-5.688939571380615
document_131016.html,26,46,ORG,Q815348,-3.6191320419311523
document_131016.html,129,139,PER,Q153832,-3.6191320419311523
document_131016.html,437,457,ORG,Q815348,-3.6191320419311523
document_131016.html,1129,1135,LOC,Q38,-3.6191320419311523
document_131021.html,798,818,ORG,Q815348,-3.784792900085449
document_131021.html,832,836,ORG,Q815348,-3.784792900085449
document_131021.html,911,915,ORG,Q815348,-3.784792900085449
document_131024.html,231,235,ORG,Q815348,-3.596146821975708
document_131024.html,400,404,ORG,Q815348,-3.596146821975708
document_131025.html,398,418,ORG,Q815348,-4.541412353515625
document_131025.html,963,983,ORG,Q815348,-4.541412353515625
document_131030.html,343,363,ORG,Q815348,-2.4186971187591553
document_131030.html,486,490,ORG,Q815348,-2.4186971187591553
document_131030.html,699,703,ORG,Q815348,-2.4186971187591553
document_131045.html,199,206,PER,Q273228,-3.5286409854888916
document_131045.html,345,347,ORG,Q815348,-3.5286409854888916
document_131047.html,107,114,PER,Q273228,-3.3476738929748535
document_131047.html,491,511,ORG,Q815348,-3.3476738929748535
document_131052.html,1631,1634,ORG,Q461886,-2.4322383403778076
document_131055.html,709,715,LOC,Q38,-2.84354567527771
document_131055.html,1127,1131,ORG,Q815348,-2.84354567527771
document_131055.html,1357,1361,ORG,Q815348,-2.84354567527771
document_131055.html,1440,1446,LOC,Q38,-2.84354567527771
document_131059.html,157,174,ORG,Q461886,-3.409350872039795
document_131059.html,281,301,ORG,Q815348,-3.409350872039795
document_131071.html,529,547,ORG,Q590750,-5.010698318481445
document_131071.html,669,675,LOC,Q490,-5.010698318481445
document_131090.html,189,196,LOC,Q2044,-4.628118991851807
document_131090.html,295,297,ORG,Q815348,-4.628118991851807
document_131090.html,832,834,ORG,Q815348,-4.628118991851807
document_131098.html,237,243,LOC,Q2634,-3.644068717956543
document_131098.html,321,323,ORG,Q815348,-3.644068717956543
document_131098.html,536,540,ORG,Q815348,-3.644068717956543
document_131098.html,662,664,ORG,Q815348,-3.644068717956543
document_131098.html,951,957,LOC,Q2634,-3.644068717956543
document_131099.html,117,119,ORG,Q815348,-3.69248104095459
document_131101.html,93,103,ORG,Q815348,-2.593101739883423
document_131101.html,119,125,LOC,Q2634,-2.593101739883423
document_131118.html,31,41,LOC,Q6671,-2.7631568908691406
document_131118.html,81,85,ORG,Q815348,-2.7631568908691406
document_131118.html,165,171,LOC,Q1243,-2.7631568908691406
document_131118.html,219,223,ORG,Q815348,-2.7631568908691406
document_131118.html,359,363,ORG,Q815348,-2.7631568908691406
document_131120.html,217,219,ORG,Q815348,-3.558941602706909
document_131120.html,493,495,ORG,Q815348,-3.558941602706909
document_131120.html,662,664,ORG,Q815348,-3.558941602706909
document_131120.html,900,902,ORG,Q815348,-3.558941602706909
document_131122.html,54,60,LOC,Q38,-3.579725980758667
document_131122.html,374,394,ORG,Q815348,-3.579725980758667
document_131130.html,339,359,ORG,Q815348,-2.664921283721924
document_131130.html,373,382,PER,Q310158,-2.664921283721924
document_131135.html,144,164,ORG,Q815348,-3.1635336875915527
document_131135.html,297,317,ORG,Q815348,-3.1635336875915527
document_131143.html,196,216,ORG,Q815348,-2.465045690536499
document_131144.html,148,168,ORG,Q815348,-2.8383352756500244
document_131144.html,209,215,LOC,Q38,-2.8383352756500244
document_131148.html,152,172,ORG,Q815348,-4.563011169433594
document_131148.html,363,383,ORG,Q815348,-4.563011169433594
document_131148.html,523,543,ORG,Q815348,-4.563011169433594
document_131148.html,630,650,ORG,Q815348,-4.563011169433594
document_131161.html,141,168,ORG,Q590750,-3.1920907497406006
document_131163.html,323,327,ORG,Q815348,-3.2766597270965576
document_131163.html,422,442,ORG,Q815348,-3.2766597270965576
document_131163.html,546,563,ORG,Q461886,-3.2766597270965576
document_131163.html,588,592,ORG,Q815348,-3.2766597270965576
document_132010.html,279,294,PER,Q3848827,-9.449708938598633
document_132011.html,67,73,LOC,Q38,-3.7497520446777344
document_132011.html,726,732,LOC,Q38,-3.7497520446777344
document_132011.html,1130,1136,LOC,Q38,-3.7497520446777344
document_132014.html,1031,1033,ORG,Q815348,-3.285320520401001
document_132014.html,1391,1393,ORG,Q815348,-3.285320520401001
document_132022.html,83,87,LOC,Q3519,-3.363246440887451
document_132022.html,199,201,ORG,Q815348,-3.363246440887451
document_132022.html,394,396,ORG,Q815348,-3.363246440887451
document_132022.html,409,413,LOC,Q3519,-3.363246440887451
document_132022.html,825,827,ORG,Q815348,-3.363246440887451
document_132022.html,965,967,ORG,Q815348,-3.363246440887451
document_132026.html,313,326,ORG,Q1065,-4.768697738647461
document_132031.html,231,237,LOC,Q38,-2.9316234588623047
document_132031.html,270,276,LOC,Q15,-2.9316234588623047
document_132031.html,347,358,LOC,Q3624,-2.9316234588623047
document_132031.html,496,502,LOC,Q38,-2.9316234588623047
document_132035.html,88,94,LOC,Q3415,-4.1535725593566895
document_132035.html,176,182,LOC,Q3415,-4.1535725593566895
document_132035.html,886,892,LOC,Q3415,-4.1535725593566895
document_132052.html,1262,1268,LOC,Q38,-2.5444858074188232
document_132069.html,143,149,LOC,Q490,-3.07631254196167
document_132069.html,240,246,LOC,Q490,-3.07631254196167
document_132073.html,176,180,LOC,Q3519,-3.6041617393493652
document_132079.html,109,111,ORG,Q815348,-2.4348080158233643
document_132079.html,957,959,ORG,Q815348,-2.4348080158233643
document_132081.html,1579,1590,LOC,Q180573,-3.303596258163452
document_132087.html,89,96,PER,Q9640,-3.2867677211761475
document_132087.html,111,122,LOC,Q30,-3.2867677211761475
document_132087.html,171,178,PER,Q273228,-3.2867677211761475
document_132087.html,609,616,PER,Q9640,-3.2867677211761475
document_132089.html,132,143,LOC,Q30,-4.978067398071289
document_132089.html,187,194,PER,Q9640,-4.978067398071289
document_132089.html,285,292,PER,Q273228,-4.978067398071289
document_132089.html,1296,1307,LOC,Q30,-4.978067398071289
document_132091.html,191,202,LOC,Q30,-4.508822441101074
document_132091.html,356,362,LOC,Q38,-4.508822441101074
document_132091.html,580,586,LOC,Q100,-4.508822441101074
document_132092.html,162,169,PER,Q273228,-3.0366318225860596
document_132092.html,176,187,LOC,Q30,-3.0366318225860596
document_132092.html,257,264,PER,Q9640,-3.0366318225860596
document_132092.html,468,474,LOC,Q38,-3.0366318225860596
document_132092.html,481,492,LOC,Q30,-3.0366318225860596
document_132099.html,141,161,ORG,Q815348,-3.385582208633423
document_132099.html,259,271,PER,Q3724516,-3.385582208633423
document_132099.html,302,304,ORG,Q815348,-3.385582208633423
document_132099.html,564,566,ORG,Q815348,-3.385582208633423
document_132099.html,917,924,LOC,Q1891,-3.385582208633423
document_132099.html,1017,1019,ORG,Q815348,-3.385582208633423
document_132117.html,176,183,LOC,Q2044,-2.7896337509155273
document_132117.html,299,306,LOC,Q2044,-2.7896337509155273
document_132122.html,117,124,PER,Q273228,-3.0466883182525635
document_132124.html,99,109,LOC,Q36704,-4.294229030609131
document_132127.html,230,246,PER,Q3723216,-8.731462478637695
document_132136.html,339,346,PER,Q273228,-3.348329782485962
document_132136.html,981,988,PER,Q273228,-3.348329782485962
document_132139.html,601,619,ORG,Q590750,-4.5403218269348145
document_132139.html,632,649,ORG,Q665335,-4.5403218269348145
document_132139.html,1536,1556,ORG,Q815348,-4.5403218269348145
document_132144.html,821,826,PER,Q316288,-7.726505279541016
document_132147.html,138,145,LOC,Q6221,-3.436826467514038
document_132147.html,272,279,LOC,Q6221,-3.436826467514038
document_132147.html,332,338,LOC,Q38,-3.436826467514038
document_132149.html,84,116,ORG,Q40970,-4.73958158493042
document_132151.html,175,181,LOC,Q38,-3.993065595626831
document_132151.html,238,244,LOC,Q38,-3.993065595626831
document_132166.html,146,154,LOC,Q13496,-4.554715633392334
document_132166.html,227,233,LOC,Q2634,-4.554715633392334
document_132170.html,133,140,PER,Q273228,-3.104318380355835
document_132171.html,306,313,LOC,Q64,-5.123612880706787
document_132174.html,293,297,ORG,Q1114833,-3.4366962909698486
document_132180.html,133,142,LOC,Q23247,-4.428664684295654
document_132180.html,1552,1558,LOC,Q38,-4.428664684295654
document_132181.html,608,618,LOC,Q15124,-2.7140703201293945
document_132207.html,182,188,LOC,Q490,-2.3700382709503174
document_132208.html,353,359,LOC,Q490,-3.2728774547576904
document_132208.html,494,500,LOC,Q490,-3.2728774547576904
document_132208.html,527,533,LOC,Q490,-3.2728774547576904
document_132210.html,316,322,LOC,Q38,-3.1451473236083984
document_132214.html,323,335,PER,Q3893797,-8.01124095916748
document_132224.html,286,290,LOC,Q220,-3.9038305282592773
document_132237.html,102,109,LOC,Q1460,-4.89622163772583
document_132240.html,123,130,LOC,Q1903,-4.414564609527588
document_132240.html,172,179,LOC,Q1460,-4.414564609527588
document_132240.html,759,766,LOC,Q1460,-4.414564609527588
document_132251.html,203,218,PER,Q139055,-0.11947619915008545
document_132257.html,62,67,LOC,Q5968,-1.5454812049865723
document_132257.html,231,247,PER,Q3767386,-1.5454812049865723
document_132257.html,406,411,LOC,Q5968,-1.5454812049865723
document_132259.html,708,714,LOC,Q38,-3.4871885776519775
document_132259.html,736,743,LOC,Q2044,-3.4871885776519775
document_132263.html,142,162,LOC,Q815348,-3.5349767208099365
document_132263.html,409,414,PER,Q316288,-3.5349767208099365
document_132264.html,141,143,ORG,Q815348,-4.637866497039795
document_132264.html,464,470,LOC,Q38,-4.637866497039795
document_132264.html,1166,1186,ORG,Q815348,-4.637866497039795
document_132292.html,916,920,ORG,Q1114833,-2.618098020553589
document_132294.html,901,907,LOC,Q38,-4.715811729431152
document_132299.html,148,154,LOC,Q13464,-3.092245101928711
document_132299.html,307,313,LOC,Q38,-3.092245101928711
document_132303.html,288,308,ORG,Q815348,-3.066148281097412
document_132305.html,83,90,LOC,Q2656,-4.849924087524414
document_132305.html,241,248,LOC,Q1460,-4.849924087524414
document_141002.html,309,350,ORG,Q21236933,-7.367469310760498
document_141053.html,243,273,ORG,Q605682,-4.709503650665283
document_141053.html,378,392,LOC,Q12585,-4.709503650665283
document_141064.html,419,425,LOC,Q46,-6.850213527679443
document_141065.html,185,203,ORG,Q8908,-5.520906925201416
document_141065.html,598,604,LOC,Q41,-5.520906925201416
document_141065.html,609,627,ORG,Q8908,-5.520906925201416
document_141065.html,763,769,LOC,Q41,-5.520906925201416
document_141069.html,110,126,ORG,Q52847,-3.9215171337127686
document_141082.html,176,189,LOC,Q7204,-2.1682755947113037
document_141082.html,190,202,PER,Q521462,-2.1682755947113037
document_141082.html,252,263,LOC,Q30,-2.1682755947113037
document_141082.html,266,270,LOC,Q220,-2.1682755947113037
document_141082.html,271,284,PER,Q724360,-2.1682755947113037
document_141084.html,83,91,LOC,Q219,-5.033943176269531
document_141084.html,165,171,LOC,Q38,-5.033943176269531
document_141084.html,177,185,LOC,Q219,-5.033943176269531
document_141087.html,78,85,LOC,Q43,-2.0312492847442627
document_141087.html,171,177,LOC,Q38,-2.0312492847442627
document_141091.html,306,314,LOC,Q424,-3.089444875717163
document_141096.html,111,115,LOC,Q220,-4.776727199554443
document_141108.html,128,134,LOC,Q46,-6.445402145385742
document_141108.html,143,149,LOC,Q38,-6.445402145385742
document_141108.html,330,346,ORG,Q52847,-6.445402145385742
document_141108.html,468,474,LOC,Q38,-6.445402145385742
document_141108.html,557,563,LOC,Q46,-6.445402145385742
document_141108.html,1124,1130,LOC,Q46,-6.445402145385742
document_141114.html,233,238,LOC,Q1016,-2.7895348072052
document_141118.html,120,127,LOC,Q948,-3.340418577194214
document_141119.html,116,128,LOC,Q4918,-9.828583717346191
document_141119.html,279,292,LOC,Q7204,-9.828583717346191
document_141120.html,74,81,LOC,Q3616,-2.9184629917144775
document_141136.html,120,127,LOC,Q115,-3.6301801204681396
document_141136.html,129,145,PER,Q41178,-3.6301801204681396
document_141136.html,153,159,LOC,Q38,-3.6301801204681396
document_141140.html,290,299,LOC,Q252,-2.9395205974578857
document_141140.html,304,310,LOC,Q38,-2.9395205974578857
document_141149.html,259,290,ORG,Q605682,-4.200858116149902
document_141149.html,300,336,ORG,Q123759,-4.200858116149902
document_141149.html,400,404,LOC,Q220,-4.200858116149902
document_141149.html,445,459,LOC,Q12585,-4.200858116149902
document_141149.html,538,546,LOC,Q48278,-4.200858116149902
document_141149.html,548,556,LOC,Q739,-4.200858116149902
document_141154.html,197,204,LOC,Q801,-4.437345504760742
document_141155.html,108,115,LOC,Q801,-5.031743049621582
document_141155.html,268,279,LOC,Q1218,-5.031743049621582
document_141155.html,560,571,LOC,Q1218,-5.031743049621582
document_141163.html,114,118,LOC,Q220,-4.944251537322998
document_141163.html,421,427,LOC,Q38,-4.944251537322998
document_141163.html,535,541,LOC,Q1930,-4.944251537322998
document_141163.html,599,603,LOC,Q220,-4.944251537322998
document_141169.html,159,167,LOC,Q3838,-0.08464731276035309
document_141169.html,251,257,LOC,Q38,-0.08464731276035309
document_141169.html,263,295,LOC,Q974,-0.08464731276035309
document_141171.html,89,94,LOC,Q1016,-2.722484588623047
document_141173.html,117,121,LOC,Q220,-4.600027561187744
document_141173.html,162,175,LOC,Q7204,-4.600027561187744
document_141181.html,130,136,LOC,Q15,-0.06706525385379791
document_141181.html,324,343,LOC,Q15,-0.06706525385379791
document_141189.html,80,84,LOC,Q3519,-3.7822484970092773
document_141189.html,181,187,LOC,Q38,-3.7822484970092773
document_141189.html,614,634,ORG,Q815348,-3.7822484970092773
document_141192.html,224,231,LOC,Q27,-3.3724281787872314
document_141193.html,153,163,PER,Q57308,-2.3822813034057617
document_141193.html,223,230,LOC,Q262,-2.3822813034057617
document_141195.html,100,107,LOC,Q262,-1.898897647857666
document_141201.html,50,54,LOC,Q220,-0.08202469348907471
document_141209.html,197,217,ORG,Q815348,-3.6366958618164062
document_141209.html,595,615,ORG,Q815348,-3.6366958618164062
document_141210.html,204,219,PER,Q5534874,-8.777116775512695
document_141210.html,384,411,ORG,Q52847,-8.777116775512695
document_141211.html,248,253,PER,Q9588,-5.106698513031006
document_141211.html,306,313,LOC,Q956,-5.106698513031006
document_141211.html,355,362,LOC,Q64,-5.106698513031006
document_141214.html,250,259,PER,Q5597,-2.112729072570801
document_141214.html,345,352,LOC,Q1861,-2.112729072570801
document_141227.html,293,299,LOC,Q38,-2.259989023208618
document_141239.html,220,246,ORG,Q52847,-5.489952087402344
document_141239.html,331,338,LOC,Q43,-5.489952087402344
document_141246.html,120,126,LOC,Q38,-4.336653709411621
document_141246.html,206,210,LOC,Q220,-4.336653709411621
document_141247.html,83,87,LOC,Q220,-2.5668671131134033
document_141247.html,267,274,LOC,Q40,-2.5668671131134033
document_141247.html,279,285,LOC,Q38,-2.5668671131134033
document_141249.html,76,97,LOC,Q53969,-3.3148884773254395
document_141249.html,118,127,LOC,Q3883,-3.3148884773254395
document_141249.html,130,137,LOC,Q13619,-3.3148884773254395
document_141249.html,1216,1236,ORG,Q815348,-3.3148884773254395
document_141249.html,1398,1418,ORG,Q815348,-3.3148884773254395
document_141254.html,160,166,LOC,Q15,-5.158764839172363
document_141254.html,359,376,ORG,Q2524205,-5.158764839172363
document_141254.html,380,386,LOC,Q490,-5.158764839172363
document_141259.html,109,116,LOC,Q116592,-4.3837785720825195
document_141270.html,183,195,PER,Q2514,-0.15065571665763855
document_141279.html,59,67,LOC,Q217169,-9.115878105163574
document_141279.html,135,148,ORG,Q1065,-9.115878105163574
document_141279.html,896,904,LOC,Q217169,-9.115878105163574
document_141283.html,649,669,ORG,Q815348,-3.318652391433716
document_141286.html,216,236,ORG,Q815348,-4.278461933135986
document_141286.html,365,383,ORG,Q590750,-4.278461933135986
document_141297.html,53,69,LOC,Q11708,-9.174803733825684
document_141297.html,931,944,LOC,Q7204,-9.174803733825684
document_141321.html,1270,1279,PER,Q332709,-2.7911229133605957
document_142002.html,429,449,ORG,Q815348,-1.468117594718933
document_142002.html,1031,1051,ORG,Q815348,-1.468117594718933
document_142004.html,86,93,LOC,Q546,-3.4095163345336914
document_142004.html,147,151,ORG,Q815348,-3.4095163345336914
document_142004.html,240,244,ORG,Q815348,-3.4095163345336914
document_142004.html,1087,1091,ORG,Q815348,-3.4095163345336914
document_142005.html,1024,1033,LOC,Q174,-4.7979736328125
document_142005.html,1039,1050,LOC,Q3624,-4.7979736328125
document_142005.html,1056,1060,LOC,Q220,-4.7979736328125
document_142010.html,299,315,PER,Q440,-0.1367276906967163
