doc_id,start_pos,end_pos,surface,type,identifier,wiki_title,score
https://digitalzibaldone.net/node/p1012_2,243,249,Andrès,PER,Q3879020,Novas,133.2544403076172
https://digitalzibaldone.net/node/p1012_2,276,280,Roma,LOC,Q220,Roma,108.18419647216797
https://digitalzibaldone.net/node/p1023_2,52,64,impero greco,LOC,Q184313,Magna Grecia,119.98529815673828
https://digitalzibaldone.net/node/p1023_2,425,431,Andrès,PER,Q772775,Marco Antonio Polemone,139.0490264892578
https://digitalzibaldone.net/node/p1037_1,40,50,᾽Eπιτάϕιος,WORK,Q190340,Alleluia,141.4766387939453
https://digitalzibaldone.net/node/p1040_1,280,286,Grecia,LOC,Q184313,Magna Grecia,109.14180755615234
https://digitalzibaldone.net/node/p1040_1,740,746,Gallie,LOC,Q184313,Magna Grecia,130.9385528564453
https://digitalzibaldone.net/node/p1042_2,432,436,Roma,LOC,Q220,Roma,110.19796752929688
https://digitalzibaldone.net/node/p1042_2,622,626,Roma,LOC,Q220,Roma,111.18728637695312
https://digitalzibaldone.net/node/p1049_1,300,306,Orazio,PER,Q193236,Gabriele D'Annunzio,127.09915161132812
https://digitalzibaldone.net/node/p1052_3,74,86,de Senectute,WORK,Q2264770,De providentia,214.69754028320312
https://digitalzibaldone.net/node/p1054_2,146,152,Sulzer,PER,Q799471,Inzer,138.84434509277344
https://digitalzibaldone.net/node/p1054_2,330,340,Forcellini,WORK,Q3846125,Marco Forcellini,130.34140014648438
https://digitalzibaldone.net/node/p1055_2,128,133,Soave,PER,Q47876,Soave,130.0047607421875
https://digitalzibaldone.net/node/p1056_3,453,461,Terenzio,PER,Q206119,Marco Terenzio Varrone,133.1156768798828
https://digitalzibaldone.net/node/p1104_1,502,513,Franciosini,PER,Q7933857,Virgilio Malvezzi,152.7635955810547
https://digitalzibaldone.net/node/p1104_1,650,659,la Crusca,WORK,Q18487001,La Lisca,155.44154357910156
https://digitalzibaldone.net/node/p1105_1,234,248,il Forcellini.,WORK,Q3846125,Marco Forcellini,142.4986572265625
https://digitalzibaldone.net/node/p1105_3,260,264,Aen.,WORK,Q1398,Publio Virgilio Marone,153.97674560546875
https://digitalzibaldone.net/node/p1105_3,313,327,lido Siciliano,LOC,Q1460,Sicilia,150.51930236816406
https://digitalzibaldone.net/node/p1105_3,1017,1020,En.,WORK,Q1163234,Latino medievale,140.40069580078125
https://digitalzibaldone.net/node/p1139_1,678,686,Palamede,PER,Q8739,Archimede,140.06268310546875
https://digitalzibaldone.net/node/p1139_1,688,693,Plin.,PER,Q16564806,Il Roccolo,142.53305053710938
https://digitalzibaldone.net/node/p1139_1,758,765,Servius,PER,Q7235735,Pous,141.32144165039062
https://digitalzibaldone.net/node/p1139_1,766,773,ad Aen.,WORK,Q191092,Assonanza,134.0755157470703
https://digitalzibaldone.net/node/p1139_1,793,800,Fabric.,PER,Q3768238,Giovanni Tommaso Cimello,155.99691772460938
https://digitalzibaldone.net/node/p1139_1,801,806,B. G.,WORK,Q3768238,Giovanni Tommaso Cimello,150.8216094970703
https://digitalzibaldone.net/node/p1139_1,839,847,Hofmanno,PER,Q16766120,Ermanno,138.5911407470703
https://digitalzibaldone.net/node/p1148_1,28,38,Forcellini,PER,Q2825079,Adriano Novellini,149.3553466796875
https://digitalzibaldone.net/node/p1217_1,57,68,Vocabolario,WORK,Q8096,Lessico,126.66258239746094
https://digitalzibaldone.net/node/p1230_1,23,33,Forcellini,PER,Q1615631,Renato Cipollini,149.5672149658203
https://digitalzibaldone.net/node/p1230_1,162,168,Crusca,WORK,Q338489,Accademia della Crusca,135.23507690429688
https://digitalzibaldone.net/node/p1230_1,458,464,Crusca,WORK,Q338489,Accademia della Crusca,139.80386352539062
https://digitalzibaldone.net/node/p1230_1,528,547,M. Pace da Certaldo,PER,Q1398,Publio Virgilio Marone,179.45523071289062
https://digitalzibaldone.net/node/p1230_1,793,810,Vincenzo Lancetti,PER,Q2090833,Gian Vincenzo Pinelli,186.53504943847656
https://digitalzibaldone.net/node/p1230_1,870,876,Crusca,WORK,Q338489,Accademia della Crusca,136.60951232910156
https://digitalzibaldone.net/node/p1230_1,983,989,Crusca,WORK,Q188672,Crusca,136.45571899414062
https://digitalzibaldone.net/node/p1230_1,1094,1100,Crusca,WORK,Q15362491,Moresca,144.51559448242188
https://digitalzibaldone.net/node/p1230_1,1147,1158,Il Du Cange,WORK,Q24575975,Lo fiolairé,178.40127563476562
https://digitalzibaldone.net/node/p1256_2,164,173,Raffaello,PER,Q3929271,Raffaello Santarelli,117.71839904785156
https://digitalzibaldone.net/node/p1290_1,731,737,Morery,PER,Q83367,Tanakh,132.89805603027344
https://digitalzibaldone.net/node/p1290_1,739,768,Grand dictionnaire historique,WORK,Q3026758,Dictionnaire historique de la langue française,188.0531463623047
https://digitalzibaldone.net/node/p1290_1,795,801,Calmet,PER,Q83367,Tanakh,135.1708984375
https://digitalzibaldone.net/node/p1290_1,807,815,Prideaux,PER,Q3857052,Middòt,142.60008239746094
https://digitalzibaldone.net/node/p1290_1,821,827,Vossio,PER,Q3965164,Sossio,139.29774475097656
https://digitalzibaldone.net/node/p1290_1,1184,1190,Bibbia,WORK,Q83367,Tanakh,110.99555969238281
https://digitalzibaldone.net/node/p1313_1,239,247,Proposta,WORK,Q3924076,Prose nelle quali si ragiona della volgar lingua,140.65817260742188
