doc_id,surface,start_pos,end_pos,identifier,type,alias,score
https://digitalzibaldone.net/node/p2700_1,Perticari,1530,1539,Q3769747,PER,Giulio Perticari,135.1322021484375
https://digitalzibaldone.net/node/p2705_1,Italia,114,120,Q38,LOC,Italia,105.39210510253906
https://digitalzibaldone.net/node/p2705_1,Perticari,127,136,Q3769747,PER,Giulio Perticari,140.43630981445312
https://digitalzibaldone.net/node/p2705_3,Perticari,589,598,Q3769747,PER,Giulio Perticari,135.20603942871094
https://digitalzibaldone.net/node/p2705_3,Monti,623,628,Q723643,PER,Vincenzo Monti,120.90045166015625
https://digitalzibaldone.net/node/p2705_3,Locke,2172,2177,Q9353,PER,John Locke,125.98725891113281
https://digitalzibaldone.net/node/p2708_1,Newton,426,432,Q935,PER,Isaac Newton,117.3226318359375
https://digitalzibaldone.net/node/p2708_1,Platone,591,598,Q859,PER,Platone,119.8910140991211
https://digitalzibaldone.net/node/p2709_1,Newton,484,490,Q935,PER,Isaac Newton,125.491943359375
https://digitalzibaldone.net/node/p2709_1,Wieland,1309,1316,Q154010,PER,Christoph Martin Wieland,129.66424560546875
https://digitalzibaldone.net/node/p2711_1,California,1276,1286,Q99,LOC,California,117.7087631225586
https://digitalzibaldone.net/node/p2715_2,Petrarca,89,97,Q1401,PER,Francesco Petrarca,106.4644775390625
https://digitalzibaldone.net/node/p2715_2,Boccaccio,131,140,Q1402,PER,Giovanni Boccaccio,106.03614807128906
https://digitalzibaldone.net/node/p2715_2,Perticari,147,156,Q3769747,PER,Giulio Perticari,134.4375457763672
https://digitalzibaldone.net/node/p2717_1,Platone,271,278,Q859,PER,Platone,115.57630920410156
https://digitalzibaldone.net/node/p2717_1,Platone,439,446,Q859,PER,Platone,118.07630920410156
https://digitalzibaldone.net/node/p2717_1,Platone,589,596,Q859,PER,Platone,118.5271987915039
https://digitalzibaldone.net/node/p2717_1,Platone,1370,1377,Q859,PER,Platone,116.92533111572266
https://digitalzibaldone.net/node/p2717_1,Socrate,388,395,Q913,PER,Socrate,118.07344055175781
https://digitalzibaldone.net/node/p2717_1,Socrate,516,523,Q913,PER,Socrate,122.56561279296875
https://digitalzibaldone.net/node/p2717_1,Lisia,505,510,Q310164,PER,Lisia,129.2344970703125
https://digitalzibaldone.net/node/p2717_1,Dialoghi,757,765,Q3026037,WORK,Dialoghi platonici,137.6989288330078
https://digitalzibaldone.net/node/p2718_1,italia,1892,1898,Q38,LOC,Italia,104.67964172363281
https://digitalzibaldone.net/node/p2718_1,Perticari,132,141,Q3769747,PER,Giulio Perticari,138.74269104003906
https://digitalzibaldone.net/node/p2718_1,Perticari,2199,2208,Q3769747,PER,Giulio Perticari,141.5118408203125
https://digitalzibaldone.net/node/p2721_1,Perticari,31,40,Q3769747,PER,Giulio Perticari,145.06871032714844
https://digitalzibaldone.net/node/p2721_2,Perticari,195,204,Q3769747,PER,Giulio Perticari,139.0043182373047
https://digitalzibaldone.net/node/p2721_3,Aristotele,0,10,Q868,PER,Aristotele,114.66375732421875
https://digitalzibaldone.net/node/p2721_4,Cicerone,215,223,Q1541,PER,Marco Tullio Cicerone,133.71755981445312
https://digitalzibaldone.net/node/p2723_1,Bembo,272,277,Q334188,PER,Pietro Bembo,132.8607177734375
https://digitalzibaldone.net/node/p2723_1,Petrarca,395,403,Q1401,PER,Francesco Petrarca,113.87554168701172
https://digitalzibaldone.net/node/p2723_1,Boccaccio,414,423,Q1402,PER,Giovanni Boccaccio,113.45811462402344
https://digitalzibaldone.net/node/p2723_1,Cicerone,464,472,Q1541,PER,Marco Tullio Cicerone,138.38681030273438
https://digitalzibaldone.net/node/p2727_1,Cicerone,432,440,Q1541,PER,Marco Tullio Cicerone,133.73463439941406
https://digitalzibaldone.net/node/p2728_1,Platone,532,539,Q859,PER,Platone,117.45686340332031
https://digitalzibaldone.net/node/p2728_1,Aristotele,603,613,Q868,PER,Aristotele,111.64192962646484
https://digitalzibaldone.net/node/p2728_1,Teofrasto,619,628,Q160362,PER,Teofrasto,126.45722961425781
