doc_id,start_pos,end_pos,type,identifier,score
https://digitalzibaldone.net/node/p2700_1,1510,1520,PER,Q978614,-2.875155448913574
https://digitalzibaldone.net/node/p2700_1,1530,1539,PER,Q2307037,-2.875155448913574
https://digitalzibaldone.net/node/p2700_1,1541,1558,WORK,Q1067,-2.875155448913574
https://digitalzibaldone.net/node/p2703_1,809,817,PER,Q1236889,-5.12168025970459
https://digitalzibaldone.net/node/p2703_1,156,184,WORK,Q3944836,-5.12168025970459
https://digitalzibaldone.net/node/p2703_1,969,978,WORK,Q338489,-5.12168025970459
https://digitalzibaldone.net/node/p2703_1,1282,1291,WORK,Q188672,-5.12168025970459
https://digitalzibaldone.net/node/p2703_1,1303,1313,WORK,Q1436657,-5.12168025970459
https://digitalzibaldone.net/node/p2705_1,114,120,LOC,Q38,-3.5336837768554688
https://digitalzibaldone.net/node/p2705_1,127,136,PER,Q2307037,-3.5336837768554688
https://digitalzibaldone.net/node/p2705_1,137,154,WORK,Q1067,-3.5336837768554688
https://digitalzibaldone.net/node/p2705_2,33,42,PER,Q2307037,-11.8065185546875
https://digitalzibaldone.net/node/p2705_2,43,66,WORK,Q2307037,-11.8065185546875
https://digitalzibaldone.net/node/p2705_3,589,598,PER,Q2307037,-4.401318073272705
https://digitalzibaldone.net/node/p2705_3,623,628,PER,Q723643,-4.401318073272705
https://digitalzibaldone.net/node/p2705_3,2172,2177,PER,Q9353,-4.401318073272705
https://digitalzibaldone.net/node/p2705_3,577,585,WORK,Q384515,-4.401318073272705
https://digitalzibaldone.net/node/p2705_3,611,619,WORK,Q3924026,-4.401318073272705
https://digitalzibaldone.net/node/p2708_1,0,8,PER,Q9191,-4.223172664642334
https://digitalzibaldone.net/node/p2708_1,171,179,PER,Q9191,-4.223172664642334
https://digitalzibaldone.net/node/p2708_1,426,432,PER,Q935,-4.223172664642334
https://digitalzibaldone.net/node/p2708_1,591,598,PER,Q859,-4.223172664642334
https://digitalzibaldone.net/node/p2709_1,473,481,PER,Q9191,-3.4557323455810547
https://digitalzibaldone.net/node/p2709_1,484,490,PER,Q935,-3.4557323455810547
https://digitalzibaldone.net/node/p2709_1,1309,1316,PER,Q154010,-3.4557323455810547
https://digitalzibaldone.net/node/p2711_1,1276,1286,LOC,Q99,-4.251858711242676
https://digitalzibaldone.net/node/p2715_1,0,9,PER,Q2307037,-3.3574206829071045
https://digitalzibaldone.net/node/p2715_1,11,32,WORK,Q378186,-3.3574206829071045
https://digitalzibaldone.net/node/p2715_2,89,97,PER,Q1401,-3.5427279472351074
https://digitalzibaldone.net/node/p2715_2,131,140,PER,Q1402,-3.5427279472351074
https://digitalzibaldone.net/node/p2715_2,147,156,PER,Q2307037,-3.5427279472351074
https://digitalzibaldone.net/node/p2715_2,157,178,WORK,Q2307037,-3.5427279472351074
https://digitalzibaldone.net/node/p2715_2,259,276,WORK,Q1067,-3.5427279472351074
https://digitalzibaldone.net/node/p2717_1,271,278,PER,Q859,-3.4175753593444824
https://digitalzibaldone.net/node/p2717_1,439,446,PER,Q859,-3.4175753593444824
https://digitalzibaldone.net/node/p2717_1,589,596,PER,Q859,-3.4175753593444824
https://digitalzibaldone.net/node/p2717_1,1370,1377,PER,Q859,-3.4175753593444824
https://digitalzibaldone.net/node/p2717_1,388,395,PER,Q913,-3.4175753593444824
https://digitalzibaldone.net/node/p2717_1,516,523,PER,Q913,-3.4175753593444824
https://digitalzibaldone.net/node/p2717_1,262,267,PER,Q52166,-3.4175753593444824
https://digitalzibaldone.net/node/p2717_1,398,403,PER,Q52166,-3.4175753593444824
https://digitalzibaldone.net/node/p2717_1,505,510,PER,Q310164,-3.4175753593444824
https://digitalzibaldone.net/node/p2717_1,376,383,WORK,Q131395,-3.4175753593444824
https://digitalzibaldone.net/node/p2717_1,757,765,WORK,Q3026037,-3.4175753593444824
https://digitalzibaldone.net/node/p2718_1,1892,1898,LOC,Q38,-6.4409403800964355
https://digitalzibaldone.net/node/p2718_1,132,141,PER,Q2307037,-6.4409403800964355
https://digitalzibaldone.net/node/p2718_1,2199,2208,PER,Q3762094,-6.4409403800964355
https://digitalzibaldone.net/node/p2718_1,149,171,WORK,Q2307037,-6.4409403800964355
https://digitalzibaldone.net/node/p2721_1,9,14,PER,Q1499745,-3.7096376419067383
https://digitalzibaldone.net/node/p2721_1,31,40,PER,Q2307037,-3.7096376419067383
