doc_id,surface,start_pos,end_pos,type,identifier,score
document_110032.html,Tommaso d’Aquino,24,40,PER,Q9438,100.0
document_110032.html,Universitari,46,58,ORG,Q499911,36.55
document_110032.html,Azione Cattolica,62,78,ORG,Q3318304,99.82
document_110032.html,Associazione,131,143,ORG,Q48204,81.46
document_110032.html,San Tommaso,188,199,PER,Q9438,99.99
document_110032.html,Dio,535,538,PER,Q190,81.78
document_110032.html,Chiesa,602,608,ORG,Q9592,47.16
document_110032.html,S. Tommaso,752,762,PER,NIL,82.73
document_110034.html,Firenze,49,56,LOC,Q2044,100.0
document_110034.html,Gioventù di Azione Cattolica,161,189,ORG,Q3318304,81.56
document_110047.html,Associazioni,179,191,ORG,Q3627327,78.4
document_110065.html,Italia,70,76,LOC,Q38,99.97
document_110065.html,Associazioni Universitarie,84,110,ORG,NIL,21.02
document_110065.html,Azione Cattolica,114,130,ORG,Q3318304,99.91
document_110065.html,Sede Apostolica,222,237,ORG,Q159583,99.76
document_110065.html,Padre Santo,248,259,PER,NIL,5.54
document_110065.html,Cristo,515,521,PER,Q642420,79.98
document_110065.html,Chiesa,582,588,ORG,Q9592,99.6
document_110065.html,Azione Cattolica,628,644,ORG,Q3318304,99.53
document_110065.html,Beatissimo Padre,687,703,PER,Q163900,60.26
document_110065.html,Universitari,709,721,ORG,NIL,3.42
document_110065.html,Azione Cattolica,725,741,ORG,Q3318304,99.99
document_110065.html,Università,985,995,ORG,Q3918,95.77
document_110065.html,Italia,996,1002,LOC,Q38,99.99
document_110082.html,democrazia cristiana,3,23,ORG,Q815348,99.46
document_110082.html,Italia,83,89,LOC,Q38,69.07
document_110088.html,democrazia cristiana,905,925,ORG,Q815348,99.68
document_110088.html,Pio XII,1583,1590,PER,Q2604,99.98
document_110090.html,Presidente Roos[e]velt,27,49,PER,Q8007,67.92
document_110090.html,Betlemme,919,927,LOC,Q5776,99.94
document_110092.html,Sforza,50,56,PER,Q463243,86.78
document_110092.html,Comitati di liberazione,88,111,ORG,NIL,98.15
document_110092.html,Sforza,170,176,PER,Q463243,92.13
document_110092.html,Italia,267,273,LOC,Q38,91.43
document_110092.html,America,278,285,LOC,Q828,99.12
document_110092.html,Montevideo,296,306,LOC,Q1335,100.0
document_110106.html,Luigi Lavitrano,30,45,PER,Q1493618,99.99
document_110106.html,Palermo,65,72,LOC,Q2656,99.6
document_110106.html,A.C.I.,143,149,ORG,NIL,60.63
document_110106.html,Associazioni,292,304,ORG,NIL,31.23
document_110106.html,Italia,335,341,LOC,Q38,92.37
document_110106.html,Fuci,388,392,ORG,NIL,0.39
document_110114.html,Italia,114,120,LOC,Q38,99.46
document_110139.html,Tunisia,172,179,LOC,Q948,99.97
document_110139.html,Italia,302,308,LOC,Q38,99.59
document_110143.html,Italia,27,33,LOC,Q38,99.96
document_110144.html,Padre,38,43,PER,Q186350,86.84
document_110155.html,Italia,65,71,LOC,Q38,98.58
document_110155.html,Italia,624,630,LOC,Q38,98.6
document_110167.html,Germania,64,72,LOC,Q183,99.13
document_110177.html,Azione Cattolica,48,64,ORG,Q3318304,99.99
document_110177.html,Roma,77,81,LOC,Q220,100.0
document_110177.html,Italia,404,410,LOC,Q38,99.55
document_110177.html,Azione Cattolica,1535,1551,ORG,Q3318304,99.96
document_110177.html,Paese,1608,1613,LOC,Q38,98.9
document_110199.html,Italia,232,238,LOC,Q38,99.94
document_110199.html,Roma,436,440,LOC,Q220,100.0
document_110199.html,FUCI,509,513,ORG,NIL,97.94
document_110199.html,Movimento,620,629,ORG,NIL,3.58
document_110205.html,Margadonna,30,40,PER,NIL,27.17
document_110205.html,Parri,158,163,PER,NIL,20.61
document_110220.html,Laureati Cattolici,130,148,ORG,NIL,4.09
document_110220.html,Laureati,523,531,ORG,NIL,1.54
document_110220.html,Roma,566,570,LOC,Q220,100.0
document_110220.html,Laureati Cattolici,631,649,ORG,Q1841,15.42
document_110220.html,Unioni Professionali Cattoliche,658,689,ORG,NIL,0.53
document_110220.html,Movimento,834,843,ORG,NIL,22.06
