doc_id,surface,start_pos,end_pos,type,identifier,score
document_110065.html,Italia,70,76,LOC,Q38,99.97
document_110065.html,Azione Cattolica,114,130,ORG,Q3318304,99.91
document_110065.html,Sede Apostolica,222,237,ORG,Q159583,99.76
document_110065.html,Azione Cattolica,628,644,ORG,Q3318304,99.53
document_110065.html,Azione Cattolica,725,741,ORG,Q3318304,99.99
document_110065.html,Università,985,995,ORG,Q3918,95.77
document_110065.html,Italia,996,1002,LOC,Q38,99.99
document_110082.html,democrazia cristiana,3,23,ORG,Q815348,99.46
document_110082.html,Italia,83,89,LOC,Q38,69.07
document_110092.html,Sforza,50,56,PER,Q463243,86.78
document_110092.html,Sforza,170,176,PER,Q463243,92.13
document_110092.html,Italia,267,273,LOC,Q38,91.43
document_110092.html,Montevideo,296,306,LOC,Q1335,100.0
document_110139.html,Tunisia,172,179,LOC,Q948,99.97
document_110139.html,Italia,302,308,LOC,Q38,99.59
document_110177.html,Azione Cattolica,48,64,ORG,Q3318304,99.99
document_110177.html,Roma,77,81,LOC,Q220,100.0
document_110177.html,Italia,404,410,LOC,Q38,99.55
document_110177.html,Azione Cattolica,1535,1551,ORG,Q3318304,99.96
document_110177.html,Paese,1608,1613,LOC,Q38,98.9
document_110199.html,Italia,232,238,LOC,Q38,99.94
document_110199.html,Roma,436,440,LOC,Q220,100.0
document_110220.html,Roma,566,570,LOC,Q220,100.0
document_110220.html,Unioni Professionali Cattoliche,658,689,ORG,NIL,0.53
document_110220.html,Italia,984,990,LOC,Q38,99.97
document_121020.html,Moro,13,17,PER,Q171834,99.52
document_121024.html,Moro,13,17,PER,Q171834,98.73
document_121024.html,La Pira,78,85,PER,Q543393,79.94
document_121024.html,La Pira,382,389,PER,Q543393,80.09
document_121043.html,Moro,13,17,PER,Q171834,97.35
document_121087.html,Moro,13,17,PER,Q171834,98.86
document_121087.html,Togliatti,206,215,PER,Q310158,99.96
document_121088.html,Moro,13,17,PER,Q171834,99.19
document_121088.html,Terracini,983,992,PER,Q4003497,91.18
document_121093.html,Moro,13,17,PER,Q171834,96.25
document_121093.html,Nobile,208,214,PER,Q291200,32.19
document_121093.html,Consulta araldica,660,677,ORG,Q1822839,99.96
document_121097.html,Moro,111,115,PER,Q171834,99.95
document_121134.html,Democrazia cristiana,489,509,ORG,Q815348,99.86
document_121134.html,Italia,818,824,LOC,Q38,71.28
document_121142.html,Ferdinando Vegas,67,83,PER,Q21587924,49.43
document_121155.html,Adelchi Baratono,34,50,PER,Q3605170,99.99
document_121217.html,Luciano Magrini,198,213,PER,Q28801839,99.91
document_121217.html,Il Mondo,256,264,ORG,Q3792807,99.68
document_121238.html,Italia,89,95,LOC,Q38,99.39
document_121238.html,Maria Montessori,167,183,PER,Q131117,99.81
document_121238.html,Italia,279,285,LOC,Q38,99.68
document_121238.html,Paese,356,361,LOC,Q38,99.7
document_121245.html,Italia,37,43,LOC,Q38,90.68
document_122012.html,Polesine,152,160,LOC,Q1242205,99.91
document_122012.html,Nenni,298,303,PER,Q539486,96.27
document_122018.html,Maria Montessori,78,94,PER,Q131117,99.81
document_122018.html,Maria Montessori,279,295,PER,Q131117,99.84
document_122034.html,Camera dei Deputati,63,82,ORG,Q841424,99.91
document_122034.html,Camera,300,306,ORG,Q841424,99.85
document_122034.html,Leone,334,339,PER,Q1235,96.37
document_122034.html,Camera,461,467,ORG,Q841424,99.72
document_122034.html,Camera,709,715,ORG,Q841424,98.65
document_122034.html,Camera,1055,1061,ORG,Q841424,99.76
document_122044.html,Giuseppe Bettiol,111,127,PER,Q3770116,100.0
document_131006.html,Sicilia,26,33,LOC,Q1460,99.1
document_131006.html,Palermo,48,55,LOC,Q2656,100.0
document_131034.html,Moro,6,10,PER,Q171834,99.67
document_131034.html,D.C.,447,451,ORG,Q815348,95.78
document_131034.html,D.C.,663,667,ORG,Q815348,64.22
document_131058.html,Moro,45,49,PER,Q171834,99.94
