doc_id,start_pos,end_pos,surface,type,identifier,wiki_title,score
https://digitalzibaldone.net/node/p1023_2,52,64,impero greco,LOC,Q184313,Magna Grecia,0.9053105480644233
https://digitalzibaldone.net/node/p1037_1,40,50,᾽Eπιτάϕιος,WORK,NIL,,0.0022901021746571217
https://digitalzibaldone.net/node/p1052_3,74,86,de Senectute,WORK,NIL,,0.29282134331402554
https://digitalzibaldone.net/node/p1054_2,330,340,Forcellini,WORK,Q550353,Egidio Forcellini,0.8634850307689866
https://digitalzibaldone.net/node/p1055_2,128,133,Soave,PER,Q47876,Soave,0.9547687314712501
https://digitalzibaldone.net/node/p1104_1,650,659,la Crusca,WORK,NIL,,0.3851785541212663
https://digitalzibaldone.net/node/p1105_1,234,248,il Forcellini.,WORK,Q3846125,Marco Forcellini,0.6369195527087347
https://digitalzibaldone.net/node/p1105_3,260,264,Aen.,WORK,NIL,,0.4074658002300551
https://digitalzibaldone.net/node/p1105_3,313,327,lido Siciliano,LOC,NIL,,0.14485774276257085
https://digitalzibaldone.net/node/p1105_3,1017,1020,En.,WORK,NIL,,0.04520620808952953
https://digitalzibaldone.net/node/p1139_1,678,686,Palamede,PER,Q19360145,François Palamède de Suffren,0.7500247052840175
https://digitalzibaldone.net/node/p1139_1,688,693,Plin.,PER,Q134189,Plotino,0.9473591051389467
https://digitalzibaldone.net/node/p1139_1,758,765,Servius,PER,Q891049,Boeus,0.6095243784950108
https://digitalzibaldone.net/node/p1139_1,766,773,ad Aen.,WORK,NIL,,0.12480826654544984
https://digitalzibaldone.net/node/p1139_1,793,800,Fabric.,PER,NIL,,0.07270891160213153
https://digitalzibaldone.net/node/p1139_1,801,806,B. G.,WORK,NIL,,0.00144053396637201
https://digitalzibaldone.net/node/p1139_1,839,847,Hofmanno,PER,NIL,,0.00938963433465717
https://digitalzibaldone.net/node/p1139_1,1249,1276,Annali di Scienze e lettere,WORK,Q2822396,Accademia delle Scienze di Torino,0.539798709686821
https://digitalzibaldone.net/node/p1217_1,57,68,Vocabolario,WORK,NIL,,0.01472135051974468
https://digitalzibaldone.net/node/p1230_1,162,168,Crusca,WORK,NIL,,0.47676780132724395
https://digitalzibaldone.net/node/p1230_1,458,464,Crusca,WORK,NIL,,0.4671428764024373
https://digitalzibaldone.net/node/p1230_1,528,547,M. Pace da Certaldo,PER,NIL,,0.03971828573157883
https://digitalzibaldone.net/node/p1230_1,793,810,Vincenzo Lancetti,PER,Q7932250,Vincenzo Pacetti,0.6774138922854157
https://digitalzibaldone.net/node/p1230_1,870,876,Crusca,WORK,Q188672,Crusca,0.6320268555733103
https://digitalzibaldone.net/node/p1230_1,983,989,Crusca,WORK,Q188672,Crusca,0.867325902385361
https://digitalzibaldone.net/node/p1230_1,1094,1100,Crusca,WORK,Q188672,Crusca,0.8147820601115102
https://digitalzibaldone.net/node/p1230_1,1147,1158,Il Du Cange,WORK,NIL,,0.06844768555410355
https://digitalzibaldone.net/node/p1290_1,731,737,Morery,PER,NIL,,0.007974769696879925
https://digitalzibaldone.net/node/p1290_1,739,768,Grand dictionnaire historique,WORK,NIL,,0.010510919308924635
https://digitalzibaldone.net/node/p1290_1,821,827,Vossio,PER,NIL,,0.03454238996824436
