doc_id,start_pos,end_pos,surface,type,identifier,score
https://digitalzibaldone.net/node/p1012_2,243,249,Andrès,PER,Q50005,-1.2617744207382202
https://digitalzibaldone.net/node/p1012_2,251,256,l. c.,WORK,Q87248,-0.6542876362800598
https://digitalzibaldone.net/node/p1012_2,276,280,Roma,LOC,Q18287233,-0.19231314957141876
https://digitalzibaldone.net/node/p1012_2,416,422,Milano,LOC,Q490,-0.09864702075719833
https://digitalzibaldone.net/node/p1012_2,529,537,Cicerone,PER,Q1541,-0.07807286828756332
https://digitalzibaldone.net/node/p1012_2,540,546,Andrès,PER,Q2066272,-1.4769457578659058
https://digitalzibaldone.net/node/p1012_2,548,553,l. c.,WORK,Q87248,-0.44745251536369324
https://digitalzibaldone.net/node/p1023_2,52,64,impero greco,LOC,Q11772,-0.33708128333091736
https://digitalzibaldone.net/node/p1023_2,189,195,italia,LOC,Q38,-0.10282932966947556
https://digitalzibaldone.net/node/p1023_2,251,255,Cic.,PER,Q1541,-0.16233135759830475
https://digitalzibaldone.net/node/p1023_2,262,270,Virgilio,PER,Q1398,-0.07025989145040512
https://digitalzibaldone.net/node/p1023_2,289,296,Augusto,PER,Q1405,-0.09768872708082199
https://digitalzibaldone.net/node/p1023_2,425,431,Andrès,PER,Q50005,-1.4931774139404297
https://digitalzibaldone.net/node/p1034_2,62,68,Italia,LOC,Q38,-0.14156578481197357
https://digitalzibaldone.net/node/p1037_1,64,73,Demostene,PER,Q117253,-0.08766750246286392
https://digitalzibaldone.net/node/p1040_1,280,286,Grecia,LOC,Q41,-0.1395287662744522
https://digitalzibaldone.net/node/p1040_1,421,427,italia,LOC,Q38,-0.23148247599601746
https://digitalzibaldone.net/node/p1040_1,436,442,Gallie,LOC,Q38060,-0.12959380447864532
https://digitalzibaldone.net/node/p1040_1,642,648,Gallie,LOC,Q38060,-0.1259995996952057
https://digitalzibaldone.net/node/p1040_1,681,687,italia,LOC,Q38,-0.12206903100013733
https://digitalzibaldone.net/node/p1040_1,721,728,Sicilia,LOC,Q1460,-0.11984296888113022
https://digitalzibaldone.net/node/p1040_1,740,746,Gallie,LOC,Q38060,-0.13816384971141815
https://digitalzibaldone.net/node/p1040_1,1300,1306,italia,LOC,Q38,-0.1034650057554245
https://digitalzibaldone.net/node/p1040_1,1312,1319,Francia,LOC,Q142,-0.11197958886623383
https://digitalzibaldone.net/node/p1040_1,1610,1616,italia,LOC,Q38,-0.13080376386642456
https://digitalzibaldone.net/node/p1040_1,1622,1629,Francia,LOC,Q142,-0.12523509562015533
https://digitalzibaldone.net/node/p1042_2,208,214,italia,LOC,Q38,-0.14213328063488007
https://digitalzibaldone.net/node/p1042_2,333,339,Gallie,LOC,Q38060,-0.1047421544790268
https://digitalzibaldone.net/node/p1042_2,432,436,Roma,LOC,Q220,-0.15866431593894958
https://digitalzibaldone.net/node/p1042_2,442,448,italia,LOC,Q38,-0.1376689076423645
https://digitalzibaldone.net/node/p1042_2,622,626,Roma,LOC,Q220,-0.12088924646377563
https://digitalzibaldone.net/node/p1042_2,632,638,italia,LOC,Q652,-0.29856202006340027
https://digitalzibaldone.net/node/p1042_2,965,971,Gallie,LOC,Q38060,-0.11504636704921722
https://digitalzibaldone.net/node/p1042_2,1112,1118,italia,LOC,Q38,-0.12121239304542542
https://digitalzibaldone.net/node/p1042_2,1171,1178,Francia,LOC,Q142,-0.10100305080413818
https://digitalzibaldone.net/node/p1045_2,3,10,Francia,LOC,Q142,-0.09703104197978973
https://digitalzibaldone.net/node/p1045_2,595,606,inghilterra,LOC,Q21,-0.08424786478281021
https://digitalzibaldone.net/node/p1045_2,741,747,europa,LOC,Q46,-0.10418570786714554
https://digitalzibaldone.net/node/p1045_2,804,810,Andrès,PER,Q1506867,-0.984982967376709
https://digitalzibaldone.net/node/p1045_2,888,894,europa,LOC,Q46,-0.11581090092658997
https://digitalzibaldone.net/node/p1045_2,997,1008,Shakespeare,PER,Q692,-0.08487826585769653
https://digitalzibaldone.net/node/p1045_2,1074,1081,Francia,LOC,Q142,-0.11545183509588242
https://digitalzibaldone.net/node/p1048_2,902,913,Castelvetro,PER,Q100045,-0.5283911228179932
https://digitalzibaldone.net/node/p1049_1,300,306,Orazio,PER,Q6197,-0.3376004695892334
https://digitalzibaldone.net/node/p1052_3,59,63,Cic.,PER,Q1541,-0.1270357370376587
https://digitalzibaldone.net/node/p1052_3,74,86,de Senectute,WORK,Q1051232,-0.39476099610328674
https://digitalzibaldone.net/node/p1054_2,146,152,Sulzer,PER,Q116036,-0.37869295477867126
https://digitalzibaldone.net/node/p1054_2,330,340,Forcellini,WORK,Q1436657,-0.5729348063468933
https://digitalzibaldone.net/node/p1054_2,347,387,Saggio sugli Errori popol. degli antichi,WORK,Q468939,-1.2600136995315552
https://digitalzibaldone.net/node/p1055_2,128,133,Soave,PER,Q47876,-0.697548508644104
https://digitalzibaldone.net/node/p1055_2,170,179,Compendio,WORK,Q776754,-0.20696373283863068
https://digitalzibaldone.net/node/p1055_2,183,188,Locke,PER,Q9353,-0.09467258304357529
https://digitalzibaldone.net/node/p1055_2,190,197,Venezia,LOC,Q641,-0.12105954438447952
https://digitalzibaldone.net/node/p1056_3,425,433,Cicerone,PER,Q1541,-0.07841543108224869
https://digitalzibaldone.net/node/p1056_3,441,447,Plauto,PER,Q47160,-0.07559233903884888
https://digitalzibaldone.net/node/p1056_3,453,461,Terenzio,PER,Q172048,-0.06681830435991287
https://digitalzibaldone.net/node/p1065_3,544,575,Scelta di Opuscoli interessanti,WORK,Q5173771,-0.8394970893859863
https://digitalzibaldone.net/node/p1065_3,577,583,Milano,LOC,Q490,-0.09065280854701996
https://digitalzibaldone.net/node/p1104_1,502,513,Franciosini,PER,Q163900,-0.7986588478088379
