doc_id,surface,start_pos,end_pos,type,identifier,score
https://digitalzibaldone.net/node/p1012_2,Andrès,243,249,PER,NIL,8.16
https://digitalzibaldone.net/node/p1012_2,Roma,276,280,LOC,Q18287233,90.63
https://digitalzibaldone.net/node/p1012_2,Andrès,540,546,PER,NIL,17.54
https://digitalzibaldone.net/node/p1023_2,impero greco,52,64,LOC,NIL,60.06
https://digitalzibaldone.net/node/p1023_2,Cic.,251,255,PER,NIL,99.1
https://digitalzibaldone.net/node/p1023_2,Andrès,425,431,PER,NIL,10.38
https://digitalzibaldone.net/node/p1037_1,᾽Eπιτάϕιος,40,50,WORK,NIL,9.6
https://digitalzibaldone.net/node/p1040_1,Grecia,280,286,LOC,Q41,95.07
https://digitalzibaldone.net/node/p1040_1,Sicilia,721,728,LOC,Q2257404,56.53
https://digitalzibaldone.net/node/p1040_1,Gallie,740,746,LOC,NIL,66.33
https://digitalzibaldone.net/node/p1042_2,Roma,432,436,LOC,Q220,60.8
https://digitalzibaldone.net/node/p1042_2,Roma,622,626,LOC,Q220,92.3
https://digitalzibaldone.net/node/p1045_2,Andrès,804,810,PER,Q1731,20.11
https://digitalzibaldone.net/node/p1048_2,Castelvetro,902,913,PER,NIL,59.06
https://digitalzibaldone.net/node/p1049_1,Orazio,300,306,PER,NIL,99.41
https://digitalzibaldone.net/node/p1052_3,Cic.,59,63,PER,NIL,92.75
https://digitalzibaldone.net/node/p1054_2,Sulzer,146,152,PER,NIL,42.98
https://digitalzibaldone.net/node/p1054_2,Forcellini,330,340,WORK,NIL,49.06
https://digitalzibaldone.net/node/p1054_2,Saggio sugli Errori popol. degli antichi,347,387,WORK,Q131928,10.01
https://digitalzibaldone.net/node/p1055_2,Soave,128,133,PER,NIL,74.15
https://digitalzibaldone.net/node/p1104_1,Franciosini,502,513,PER,NIL,21.51
https://digitalzibaldone.net/node/p1104_1,la Crusca,650,659,WORK,NIL,55.15
https://digitalzibaldone.net/node/p1105_1,il Forcellini.,234,248,WORK,NIL,92.17
https://digitalzibaldone.net/node/p1105_3,Aen.,260,264,WORK,NIL,83.16
https://digitalzibaldone.net/node/p1105_3,lido Siciliano,313,327,LOC,NIL,2.74
https://digitalzibaldone.net/node/p1105_3,En.,1017,1020,WORK,Q1239347,18.68
https://digitalzibaldone.net/node/p1139_1,Servius,758,765,PER,NIL,97.56
https://digitalzibaldone.net/node/p1139_1,ad Aen.,766,773,WORK,NIL,2.15
https://digitalzibaldone.net/node/p1139_1,Fabric.,793,800,PER,NIL,8.83
https://digitalzibaldone.net/node/p1139_1,B. G.,801,806,WORK,Q39086,14.51
https://digitalzibaldone.net/node/p1139_1,Hofmanno,839,847,PER,Q76360,14.56
https://digitalzibaldone.net/node/p1148_1,Forcellini,28,38,PER,NIL,53.23
https://digitalzibaldone.net/node/p1217_1,Vocabolario,57,68,WORK,NIL,0.06
https://digitalzibaldone.net/node/p1230_1,Forcellini,23,33,PER,NIL,52.07
