doc_id,surface,start_pos,end_pos,identifier,type,alias,score
document_110003.html,Italia,336,342,Q38,LOC,Italia,104.29999542236328
document_110005.html,Università,87,97,Q131262,ORG,Università di Bologna,123.03742218017578
document_110005.html,Fera,116,120,Q3751194,PER,Franco Cappa,147.04429626464844
document_110005.html,Italia,185,191,Q38,LOC,Italia,102.74604797363281
document_110029.html,S. Paolo,60,68,Q9200,PER,Paolo di Tarso,128.05604553222656
document_110029.html,Associazioni,80,92,Q48204,ORG,Associazione (diritto),132.19284057617188
document_110029.html,Chiesa,383,389,Q159583,ORG,Santa Sede,119.06998443603516
document_110029.html,Universitari Cattolici,494,516,Q2120466,ORG,Università pontificie,142.53482055664062
document_110032.html,Tommaso d’Aquino,24,40,Q9438,PER,Tommaso d'Aquino,144.88912963867188
document_110032.html,Universitari,46,58,Q691851,ORG,Università degli Studi di Napoli Federico II,126.59818267822266
document_110032.html,Azione Cattolica,62,78,Q3318304,ORG,Azione Cattolica,154.02392578125
document_110032.html,Associazione,131,143,Q3318304,ORG,Azione Cattolica,137.90994262695312
document_110032.html,San Tommaso,188,199,Q9438,PER,Tommaso d'Aquino,136.31640625
document_110032.html,Chiesa,602,608,Q170174,ORG,Stato Pontificio,119.11817932128906
document_110032.html,S. Tommaso,752,762,Q9438,PER,Tommaso d'Aquino,127.677490234375
document_110034.html,Firenze,49,56,Q2044,LOC,Firenze,111.82777404785156
document_110034.html,Gioventù di Azione Cattolica,161,189,Q3318304,ORG,Azione Cattolica,189.8149871826172
document_110041.html,Fuci,84,88,Q3091708,ORG,Federazione universitaria cattolica italiana,162.91213989257812
document_110041.html,Associazione,180,192,Q790144,ORG,Avanguardia Nazionale,127.24868774414062
document_110041.html,Associazione,1109,1121,Q48204,ORG,Associazione (diritto),129.32318115234375
document_110041.html,Associazione,1159,1171,Q48204,ORG,Associazione (diritto),125.09310150146484
document_110041.html,Fuci,1470,1474,Q3091708,ORG,Federazione universitaria cattolica italiana,141.79425048828125
document_110047.html,Associazioni,179,191,Q207320,ORG,Organizzazione paramilitare,133.34103393554688
document_110057.html,Associazioni,58,70,Q48204,ORG,Associazione (diritto),124.29167175292969
document_110057.html,Azione Cattolica,88,104,Q3318304,ORG,Azione Cattolica,148.09942626953125
document_110057.html,Associazioni,508,520,Q48204,ORG,Associazione (diritto),125.74788665771484
document_110063.html,Università Cattolica del Sacro Cuore,62,98,Q229022,ORG,Università Cattolica del Sacro Cuore,173.93077087402344
document_110072.html,Fuci,94,98,Q3091708,ORG,Federazione universitaria cattolica italiana,164.25743103027344
document_110079.html,Europa,618,624,Q46,LOC,Europa,106.32991027832031
document_110087.html,Italia,5,11,Q38,LOC,Italia,104.38728332519531
document_110087.html,Italia,130,136,Q38,LOC,Italia,105.21094512939453
document_110087.html,Italia,236,242,Q38,LOC,Italia,105.61318969726562
document_110087.html,Mussolini,304,313,Q23559,PER,Benito Mussolini,107.7138671875
document_110088.html,partiti,202,209,Q2704736,ORG,Partito Radicale (Italia),120.45050048828125
document_110088.html,democrazia cristiana,905,925,Q815348,ORG,Democrazia Cristiana,127.694580078125
document_110088.html,Pio XII,1583,1590,Q2604,PER,Papa Pio XII,142.16946411132812
