doc_id,surface,start_pos,end_pos,identifier,type,alias,score
document_110003.html,Italia,336,342,Q38,LOC,Italia,104.29999542236328
document_110005.html,Italia,185,191,Q38,LOC,Italia,102.74604797363281
document_110029.html,S. Paolo,60,68,Q9200,PER,Paolo di Tarso,128.05604553222656
document_110032.html,Tommaso d’Aquino,24,40,Q9438,PER,Tommaso d'Aquino,144.88912963867188
document_110032.html,Azione Cattolica,62,78,Q3318304,ORG,Azione Cattolica,154.02392578125
document_110032.html,San Tommaso,188,199,Q9438,PER,Tommaso d'Aquino,136.31640625
document_110032.html,S. Tommaso,752,762,Q9438,PER,Tommaso d'Aquino,127.677490234375
document_110034.html,Firenze,49,56,Q2044,LOC,Firenze,111.82777404785156
document_110041.html,Fuci,84,88,Q3091708,ORG,Federazione universitaria cattolica italiana,162.91213989257812
document_110041.html,Fuci,1470,1474,Q3091708,ORG,Federazione universitaria cattolica italiana,141.79425048828125
document_110063.html,Università Cattolica del Sacro Cuore,62,98,Q229022,ORG,Università Cattolica del Sacro Cuore,173.93077087402344
document_110072.html,Fuci,94,98,Q3091708,ORG,Federazione universitaria cattolica italiana,164.25743103027344
document_110079.html,Europa,618,624,Q46,LOC,Europa,106.32991027832031
document_110087.html,Italia,5,11,Q38,LOC,Italia,104.38728332519531
document_110087.html,Italia,130,136,Q38,LOC,Italia,105.21094512939453
document_110087.html,Italia,236,242,Q38,LOC,Italia,105.61318969726562
document_110087.html,Mussolini,304,313,Q23559,PER,Benito Mussolini,107.7138671875
document_110088.html,democrazia cristiana,905,925,Q815348,ORG,Democrazia Cristiana,127.694580078125
document_110088.html,Pio XII,1583,1590,Q2604,PER,Papa Pio XII,142.16946411132812
document_110090.html,Betlemme,919,927,Q5776,LOC,Betlemme,113.99040222167969
document_110095.html,Churchill,531,540,Q8016,PER,Winston Churchill,119.51213073730469
document_110095.html,Italia,593,599,Q38,LOC,Italia,105.53002166748047
document_110095.html,Roma,720,724,Q220,LOC,Roma,110.77436065673828
document_110095.html,paese,770,775,Q38,LOC,Italia,113.448486328125
document_110108.html,Benedetto Croce,41,56,Q192348,PER,Benedetto Croce,146.56515502929688
document_110108.html,Italia,128,134,Q38,LOC,Italia,101.97107696533203
document_110114.html,Italia,114,120,Q38,LOC,Italia,102.18380737304688
document_110118.html,Carlo Rosselli,42,56,Q611927,PER,Carlo Rosselli,161.601806640625
document_110137.html,Alberto Savinio,35,50,Q691973,PER,Alberto Savinio,225.93045043945312
document_110139.html,Tunisia,172,179,Q948,LOC,Tunisia,107.31629943847656
document_110139.html,Italia,302,308,Q38,LOC,Italia,101.9844970703125
document_110143.html,Italia,27,33,Q38,LOC,Italia,102.65611267089844
document_110156.html,Europa,368,374,Q46,LOC,Europa,105.26651000976562
document_110160.html,Sindacati,31,40,Q178790,ORG,Sindacato,117.16655731201172
document_110160.html,Italia,85,91,Q38,LOC,Italia,102.41129302978516
document_110160.html,Sindacati,188,197,Q178790,ORG,Sindacato,114.97321319580078
document_110162.html,Italia,302,308,Q38,LOC,Italia,105.16675567626953
document_110169.html,Azione Cattolica,36,52,Q3318304,ORG,Azione Cattolica,146.90350341796875
document_110183.html,Italia,476,482,Q38,LOC,Italia,103.251220703125
document_110183.html,Azione Cattolica,1616,1632,Q3318304,ORG,Azione Cattolica,120.0797119140625
document_110183.html,paese,1741,1746,Q38,LOC,Italia,112.5875244140625
document_110198.html,Italia,33,39,Q38,LOC,Italia,105.3626708984375
document_110218.html,Arturo Carlo Jemolo,0,19,Q3624507,PER,Arturo Carlo Jemolo,214.4075164794922
document_110218.html,Firenze,84,91,Q2044,LOC,Firenze,111.85929107666016
document_110218.html,Jemolo,296,302,Q3624507,PER,Arturo Carlo Jemolo,140.358642578125
document_110223.html,Roma,41,45,Q220,LOC,Roma,108.43218994140625
document_121001.html,Italia,59,65,Q38,LOC,Italia,104.90148162841797
document_121005.html,Cevolotto,373,382,Q3848440,PER,Mario Cevolotto,152.98880004882812
document_121007.html,Assemblea costituente italiana,77,107,Q1053185,ORG,Assemblea Costituente (Italia),170.72174072265625
document_121021.html,La Pira,334,341,Q543393,PER,Giorgio La Pira,159.17601013183594
document_121029.html,Dossetti,144,152,Q370039,PER,Giuseppe Dossetti,143.34278869628906
document_121063.html,Togliatti,110,119,Q310158,PER,Palmiro Togliatti,121.20565795898438
document_121063.html,Cevolotto,262,271,Q3848440,PER,Mario Cevolotto,142.50563049316406
document_121077.html,Cevolotto,95,104,Q3848440,PER,Mario Cevolotto,159.59237670898438
document_121082.html,Togliatti,188,197,Q310158,PER,Palmiro Togliatti,122.27760314941406
document_121092.html,Terracini,87,96,Q4003497,PER,Umberto Terracini,159.13719177246094
document_121093.html,Consulta araldica,660,677,Q1822839,ORG,Consulta araldica,171.22018432617188
document_121105.html,Roma,63,67,Q220,LOC,Roma,108.74720764160156
document_121107.html,Assemblea costituente,243,264,Q1053185,ORG,Assemblea Costituente (Italia),137.11819458007812
document_121124.html,Leone,75,80,Q1235,PER,Giovanni Leone,141.974365234375
document_121124.html,Bettiol,86,93,Q3770116,PER,Giuseppe Bettiol,187.89999389648438
document_121153.html,Röpke,814,819,Q62444,PER,Wilhelm Röpke,147.62527465820312
document_121164.html,Zuccarini,109,118,Q50772684,PER,Oliviero Zuccarini,153.27493286132812
document_121164.html,Gronchi,205,212,Q1241,PER,Giovanni Gronchi,155.4537353515625
document_121180.html,Assemblea costituente,71,92,Q1053185,ORG,Assemblea Costituente (Italia),138.7684326171875
