doc_id,start_pos,end_pos,type,identifier,score
document_110003.html,336,342,LOC,Q38,-2.3525545597076416
document_110005.html,87,97,ORG,Q3918,-2.7351951599121094
document_110005.html,185,191,LOC,Q38,-2.7351951599121094
document_110029.html,60,68,PER,Q9200,-2.565094470977783
document_110032.html,24,40,PER,Q9438,-4.007487773895264
document_110032.html,62,78,ORG,Q3318304,-4.007487773895264
document_110032.html,188,199,PER,Q9438,-4.007487773895264
document_110034.html,49,56,LOC,Q2044,-4.628795146942139
document_110041.html,84,88,ORG,Q3091708,-2.449889659881592
document_110041.html,1470,1474,ORG,Q3091708,-2.449889659881592
document_110063.html,62,98,ORG,Q229022,-0.09939202666282654
document_110072.html,94,98,ORG,Q3091708,-2.389803886413574
document_110079.html,618,624,LOC,Q46,-5.60573673248291
document_110087.html,5,11,LOC,Q38,-0.12746065855026245
document_110087.html,130,136,LOC,Q38,-0.12746065855026245
document_110087.html,236,242,LOC,Q38,-0.12746065855026245
document_110087.html,304,313,PER,Q23559,-0.12746065855026245
document_110088.html,202,209,ORG,Q7278,-3.3687386512756348
document_110088.html,905,925,ORG,Q815348,-3.3687386512756348
document_110088.html,1583,1590,PER,Q2604,-3.3687386512756348
document_110090.html,27,49,PER,Q8007,-4.84050989151001
document_110090.html,919,927,LOC,Q5776,-4.84050989151001
document_110095.html,531,540,PER,Q8016,-2.7261550426483154
document_110095.html,593,599,LOC,Q38,-2.7261550426483154
document_110095.html,720,724,LOC,Q220,-2.7261550426483154
document_110108.html,41,56,PER,Q192348,-3.425981044769287
document_110108.html,128,134,LOC,Q38,-3.425981044769287
document_110114.html,114,120,LOC,Q38,-2.687270402908325
document_110118.html,42,56,PER,Q611927,-0.08575321733951569
document_110137.html,35,50,PER,Q691973,-0.05773477256298065
document_110139.html,172,179,LOC,Q948,-2.401536226272583
document_110139.html,302,308,LOC,Q38,-2.401536226272583
document_110143.html,27,33,LOC,Q38,-2.8420071601867676
document_110156.html,368,374,LOC,Q46,-4.573574542999268
document_110160.html,31,40,ORG,Q178790,-10.619274139404297
document_110160.html,85,91,LOC,Q38,-10.619274139404297
document_110160.html,188,197,ORG,Q178790,-10.619274139404297
document_110162.html,194,201,ORG,Q7278,-2.263934373855591
document_110162.html,302,308,LOC,Q38,-2.263934373855591
document_110169.html,3,21,ORG,Q3866579,-4.98483943939209
document_110169.html,36,52,ORG,Q3318304,-4.98483943939209
document_110183.html,476,482,LOC,Q38,-2.9489753246307373
document_110183.html,659,677,ORG,Q3866579,-2.9489753246307373
document_110183.html,1616,1632,ORG,Q3318304,-2.9489753246307373
document_110183.html,1639,1657,ORG,Q3866579,-2.9489753246307373
document_110198.html,33,39,LOC,Q38,-1.8115330934524536
document_110213.html,52,56,LOC,Q220,-7.430217742919922
document_110218.html,0,19,PER,Q3624507,-15.535828590393066
document_110218.html,84,91,LOC,Q2044,-15.535828590393066
document_110218.html,296,302,PER,Q3624507,-15.535828590393066
document_110222.html,17,27,ORG,Q3918,-1.727296233177185
document_110223.html,41,45,LOC,Q220,-3.7165682315826416
document_110223.html,402,420,ORG,Q3866579,-3.7165682315826416
document_121001.html,59,65,LOC,Q38,-4.107011795043945
document_121005.html,362,367,PER,Q3229281,-8.575119018554688
document_121007.html,77,107,ORG,Q1053185,-2.760828971862793
document_121021.html,334,341,PER,Q543393,-4.067309379577637
document_121021.html,363,368,PER,Q3229281,-4.067309379577637
document_121029.html,144,152,PER,Q370039,-6.716256141662598
document_121034.html,71,76,PER,Q3229281,-0.9508864879608154
document_121060.html,70,75,PER,Q3229281,-0.8989360332489014
document_121063.html,110,119,PER,Q310158,-8.305261611938477
document_121082.html,188,197,PER,Q310158,-3.7231392860412598
document_121092.html,87,96,PER,Q4003497,-0.8326637744903564
document_121092.html,102,108,PER,Q291200,-0.8326637744903564
document_121092.html,248,253,PER,Q694799,-0.8326637744903564
document_121093.html,660,677,ORG,Q1822839,-4.639787673950195
document_121105.html,63,67,LOC,Q220,-5.398449897766113
document_121107.html,39,60,ORG,Q1053185,-2.4590671062469482
document_121107.html,161,191,ORG,Q3684787,-2.4590671062469482
document_121107.html,243,264,ORG,Q1053185,-2.4590671062469482
document_121124.html,75,80,PER,Q1235,-4.902105808258057
document_121124.html,86,93,PER,Q3770116,-4.902105808258057
document_121153.html,814,819,PER,Q62444,-4.035751819610596
document_121164.html,205,212,PER,Q1241,-1.8233813047409058
document_121180.html,71,92,ORG,Q1053185,-2.6969285011291504
document_121187.html,715,721,LOC,Q38,-2.820101261138916
document_121194.html,86,100,PER,Q3430358,-9.81312084197998
document_121204.html,84,88,LOC,Q3519,-5.473360538482666
document_121222.html,73,79,LOC,Q46,-4.602089881896973
document_121222.html,182,188,LOC,Q38,-4.602089881896973
document_121238.html,89,95,LOC,Q38,-3.8234028816223145
document_121238.html,167,183,PER,Q131117,-3.8234028816223145
document_121238.html,279,285,LOC,Q38,-3.8234028816223145
document_121241.html,514,530,PER,Q131117,-4.075186252593994
document_121241.html,579,585,LOC,Q38,-4.075186252593994
document_121241.html,690,696,LOC,Q38,-4.075186252593994
document_121241.html,800,810,PER,Q131117,-4.075186252593994
document_121241.html,880,886,LOC,Q55,-4.075186252593994
document_121241.html,1004,1010,LOC,Q38,-4.075186252593994
document_121241.html,1043,1059,PER,Q131117,-4.075186252593994
document_121241.html,1131,1138,LOC,Q1033,-4.075186252593994
document_121241.html,1160,1165,LOC,Q668,-4.075186252593994
document_121241.html,1213,1224,LOC,Q21,-4.075186252593994
document_122036.html,134,141,PER,Q273228,-5.1183695793151855
document_122036.html,570,577,PER,Q273228,-5.1183695793151855
document_122041.html,458,468,PER,Q153832,-2.935969829559326
document_122048.html,76,85,PER,Q310158,-3.9703946113586426
document_122048.html,116,125,PER,Q310158,-3.9703946113586426
document_122061.html,112,132,ORG,Q815348,-3.3440773487091064
document_122077.html,93,95,ORG,Q815348,-3.4710617065429688
document_122077.html,129,131,ORG,Q815348,-3.4710617065429688
document_131008.html,69,76,LOC,Q1460,-3.6002323627471924
document_131008.html,162,166,ORG,Q815348,-3.6002323627471924
document_131010.html,49,53,ORG,Q815348,-5.530601978302002
document_131010.html,306,332,ORG,Q52847,-5.530601978302002
document_131016.html,3,23,ORG,Q815348,-3.6191351413726807
