doc_id,start_pos,end_pos,surface,type,identifier,wiki_title,answer,score
document_110065.html,248,259,Padre Santo,PER,NIL,Padre Santo,"```json { ""wikipedia_page"": ""NIL"", ""wikidata_id"": ""NIL"" } ```",0
document_110065.html,687,703,Beatissimo Padre,PER,NIL,Beatissimo Padre,"```json { ""wikipedia_page"": ""NIL"", ""wikidata_id"": ""NIL"" } ```",0
document_110065.html,709,721,Universitari,ORG,Q48282,Studente,"```json { ""wikipedia_page"": ""Studente"", ""wikidata_id"": ""Q48282"" } ```",0.0021488640577162835
document_110082.html,83,89,Italia,LOC,Q2260521,Nascita della Repubblica Italiana,"```json { ""wikipedia_page"": ""Nascita della Repubblica Italiana"", ""wikidata_id"": ""Q2260521"" } ```",1.1536782182890934e-05
document_110092.html,267,273,Italia,LOC,NIL,Italia,"```json {""wikipedia_page"":""NIL"", ""wikidata_id"":""NIL""} ```",0
document_110092.html,278,285,America,LOC,Q828,America,"```json {""wikipedia_page"":""America"", ""wikidata_id"":""Q828""} ```",0.5253899320491976
document_110139.html,302,308,Italia,LOC,Q172579,Regno d'Italia (1861-1946),"```json {""wikipedia_page"": ""Regno d'Italia (1861-1946)"", ""wikidata_id"": ""Q172579""} ```",0.03452314475773713
document_110199.html,232,238,Italia,LOC,Q172579,Regno d'Italia (1861-1946),"```json {""wikipedia_page"":""Regno d'Italia (1861-1946)"", ""wikidata_id"":""Q172579""} ```",0.0027035464295765404
document_110199.html,620,629,Movimento,ORG,Q49773,Movimento (sociologia),"```json {""wikipedia_page"": ""Movimento (sociologia)"", ""wikidata_id"": ""Q49773""} ```",0.46640002103565265
document_110205.html,30,40,Margadonna,PER,NIL,Margadonna,"```json {""wikipedia_page"": ""NIL"", ""wikidata_id"": ""NIL""} ```",0
document_110220.html,130,148,Laureati Cattolici,ORG,NIL,Laureati Cattolici,"```json {""wikipedia_page"":"""", ""wikidata_id"":""NIL""} ```",0
document_110220.html,523,531,Laureati,ORG,NIL,Laureati,"```json {""wikipedia_page"":""NIL"", ""wikidata_id"":""NIL""} ```",0
document_110220.html,631,649,Laureati Cattolici,ORG,Q1054679,Laurea,"```json {""wikipedia_page"":""Laurea"", ""wikidata_id"":""Q1054679""} ```",0.002364326275101883
document_110220.html,834,843,Movimento,ORG,Q3663780,Movimento cattolico in Italia,"```json { ""wikipedia_page"": ""Movimento cattolico in Italia"", ""wikidata_id"": ""Q3663780"" } ```",0.002548790261153524
document_110220.html,912,920,Laureati,ORG,NIL,Laureati,"```json {""wikipedia_page"":""NIL"", ""wikidata_id"":""NIL""} ```",0
document_121020.html,75,85,Presidente,PER,NIL,Presidente,"```json {""wikipedia_page"":"""",""wikidata_id"":""NIL""} ```",0
document_121020.html,123,134,Commissione,ORG,Q2986700,Commissione parlamentare,"```json {""wikipedia_page"": ""Commissione parlamentare"", ""wikidata_id"": ""Q2986700""} ```",0.10690966539535002
document_121020.html,233,243,Presidente,PER,NIL,Presidente,"```json {""wikipedia_page"":"""",""wikidata_id"":""NIL""} ```",0
document_121024.html,78,85,La Pira,PER,NIL,La Pira,"```json { ""wikipedia_page"": ""NIL"", ""wikidata_id"": ""NIL"" } ```",0
document_121024.html,169,177,Marchesi,PER,NIL,Marchesi,"```json { ""wikipedia_page"": """", ""wikidata_id"": ""NIL"" } ```",0
document_121043.html,84,92,Marchesi,PER,NIL,Marchesi,"```json {""wikipedia_page"":""NIL"", ""wikidata_id"":""NIL""} ```",0
document_121093.html,208,214,Nobile,PER,Q134737,Nobiltà,"```json {""wikipedia_page"":""Nobiltà"", ""wikidata_id"":""Q134737""} ```",0.5486042463711861
document_121097.html,76,82,Chiesa,ORG,Q159583,Santa Sede,"```json {""wikipedia_page"": ""Santa Sede"", ""wikidata_id"": ""Q159583""} ```",0.005002745473628105
document_121170.html,58,69,Commissione,ORG,Q780180,"Commissione per le libertà civili, la giustizia e gli affari interni del Parlamento europeo","```json { ""wikipedia_page"": ""Commissione per le libertà civili, la giustizia e gli affari interni del Parlamento europeo"", ""wikidata_id"": ""Q780180"" } ```",0.014740781644830055
document_121170.html,189,197,Targetti,PER,Q3929607,Raimondo Targetti,"```json { ""wikipedia_page"": ""Raimondo Targetti"", ""wikidata_id"": ""Q3929607"" } ```",0.9644241708897726
document_121186.html,353,363,Condorelli,PER,Q18734796,Mario Condorelli,"```json {""wikipedia_page"": ""Mario Condorelli"", ""wikidata_id"": ""Q18734796""} ```",0.07106897385887187
document_121217.html,198,213,Luciano Magrini,PER,NIL,Luciano Magrini,"```json { ""wikipedia_page"": ""NIL"", ""wikidata_id"": ""NIL"" } ```",0
document_121217.html,256,264,Il Mondo,ORG,Q3792806,Il Mondo (quotidiano),"```json {""wikipedia_page"": ""Il Mondo (quotidiano)"", ""wikidata_id"": ""Q3792806""} ```",0.7212457630303146
document_122018.html,207,217,Parlamento,ORG,Q841424,Camera dei deputati (Italia),"```json { ""wikipedia_page"": ""Camera dei deputati (Italia)"", ""wikidata_id"": ""Q841424"" } ```",0.006268122524726094
document_122034.html,407,416,Assemblea,ORG,Q841424,Camera dei deputati (Italia),"```json {""wikipedia_page"":""Camera dei deputati (Italia)"", ""wikidata_id"":""Q841424""} ```",0.30713093530911456
document_122034.html,1181,1191,Parlamento,ORG,Q35749,Parlamento,"```json {""wikipedia_page"": ""Parlamento"", ""wikidata_id"": ""Q35749""} ```",0.8019001896138499
document_122044.html,7,17,Presidente,PER,Q6360077,Presidente della Camera dei deputati (Italia),"```json { ""wikipedia_page"": ""Presidente della Camera dei deputati (Italia)"", ""wikidata_id"": ""Q6360077"" } ```",0.05853598240351418
document_131106.html,582,587,Paese,LOC,Q2250397,Italia meridionale,"```json { ""wikipedia_page"": ""Italia meridionale"", ""wikidata_id"": ""Q2250397"" } ```",0.000356656689951123
document_131111.html,1793,1800,Partito,ORG,Q461886,Partito Comunista Italiano,"```json {""wikipedia_page"":""Partito Comunista Italiano"", ""wikidata_id"":""Q461886""} ```",0.013466560547843051
document_131126.html,980,987,Partito,ORG,NIL,Partito,"```json { ""wikipedia_page"": ""NIL"", ""wikidata_id"": ""NIL"" } ```",0
document_131130.html,25,35,Presidente,PER,Q7477985,Presidente del Senato della Repubblica,"```json { ""wikipedia_page"": ""Presidente del Senato della Repubblica"", ""wikidata_id"": ""Q7477985"" } ```",0.01019079708870091
document_131130.html,220,227,Governo,ORG,NIL,Governo,"```json {""wikipedia_page"":""NIL"", ""wikidata_id"":""NIL""} ```",0
document_131130.html,428,435,Governo,ORG,NIL,Governo,"```json {""wikipedia_page"":"""", ""wikidata_id"":""NIL""} ```",0
document_132006.html,25,40,Sommo Pontefice,PER,Q19546,Papa,"```json {""wikipedia_page"": ""Papa"", ""wikidata_id"": ""Q19546""} ```",0.0010633179043132383
document_132006.html,331,337,Chiesa,ORG,Q159583,Santa Sede,"```json { ""wikipedia_page"": ""Santa Sede"", ""wikidata_id"": ""Q159583"" } ```",0.04997054442419214
document_132006.html,476,482,Chiesa,ORG,Q159583,Santa Sede,"```json { ""wikipedia_page"": ""Santa Sede"", ""wikidata_id"": ""Q159583"" } ```",0.011918183161239411
document_132028.html,135,142,Governo,ORG,NIL,Governo,"```json {""wikipedia_page"":""NIL"", ""wikidata_id"":""NIL""} ```",0
document_132065.html,311,320,Carandini,PER,NIL,Carandini,"```json {""wikipedia_page"":""NIL"", ""wikidata_id"":""NIL""} ```",0
document_132073.html,67,71,Bari,LOC,Q16123,Provincia di Bari,"```json {""wikipedia_page"":""Provincia di Bari"", ""wikidata_id"":""Q16123""} ```",0.0007342449821100204
document_132108.html,175,180,Togni,PER,Q737455,Gianni Togni,"```json { ""wikipedia_page"": ""Gianni Togni"", ""wikidata_id"": ""Q737455"" } ```",0.15931172415627862
document_132109.html,50,55,Asahi,ORG,NIL,Asahi,"```json {""wikipedia_page"":""NIL"", ""wikidata_id"":""NIL""} ```",0
document_132124.html,114,123,Stambolic,PER,Q456898,Ivan Stambolić,"```json {""wikipedia_page"": ""Ivan Stambolić"", ""wikidata_id"": ""Q456898""} ```",0.877931091469399
document_132165.html,406,413,Governo,ORG,Q7188,Governo,"```json {""wikipedia_page"":""Governo"", ""wikidata_id"":""Q7188""} ```",0.8583428750022094
document_132165.html,1161,1167,Italia,LOC,Q2250397,Italia meridionale,"```json { ""wikipedia_page"": ""Italia meridionale"", ""wikidata_id"": ""Q2250397"" } ```",0.00034494852298737924
document_132165.html,1272,1279,Governo,ORG,Q7188,Governo,"```json { ""wikipedia_page"": ""Governo"", ""wikidata_id"": ""Q7188"" } ```",0.04660985591301311
document_132179.html,611,618,Governo,ORG,Q7188,Governo,"```json { ""wikipedia_page"": ""Governo"", ""wikidata_id"": ""Q7188"" } ```",0.17531472285280003
document_132179.html,748,755,Governo,ORG,Q7188,Governo,"```json {""wikipedia_page"":""Governo"", ""wikidata_id"":""Q7188""} ```",0.12318513312249378
document_132179.html,875,882,Governo,ORG,NIL,Governo,"```json {""wikipedia_page"":""NIL"", ""wikidata_id"":""NIL""} ```",0
document_132183.html,128,139,Arcivescovo,PER,Q1365456,Arcidiocesi di Salerno-Campagna-Acerno,"```json {""wikipedia_page"": ""Arcidiocesi di Salerno-Campagna-Acerno"", ""wikidata_id"": ""Q1365456""} ```",0.0012152009087525262
document_132183.html,342,347,Menna,PER,NIL,Menna,"```json {""wikipedia_page"":"""", ""wikidata_id"":""NIL""} ```",0
document_132198.html,178,185,Governo,ORG,NIL,Governo,"```json {""wikipedia_page"":""NIL"", ""wikidata_id"":""NIL""} ```",0
document_132230.html,773,783,Segretario,PER,Q80687,Segretario (ufficio),"```json {""wikipedia_page"":""Segretario (ufficio)"", ""wikidata_id"":""Q80687""} ```",0.28578908026280403
document_132230.html,868,875,Partito,ORG,Q665335,Partito Socialista Democratico Italiano,"```json { ""wikipedia_page"": ""Partito Socialista Democratico Italiano"", ""wikidata_id"": ""Q665335"" } ```",0.06340100767934687
document_132257.html,251,260,Provincia,ORG,Q15091,Provincia di Cuneo,"```json {""wikipedia_page"":""Provincia di Cuneo"", ""wikidata_id"":""Q15091""} ```",0.14177740080648737
document_132274.html,77,87,Tremelloni,PER,NIL,Tremelloni,"```json {""wikipedia_page"":""NIL"", ""wikidata_id"":""NIL""} ```",0
document_132289.html,203,210,Governo,ORG,NIL,Governo,"```json {""wikipedia_page"":"""", ""wikidata_id"":""NIL""} ```",0
document_132289.html,435,450,Andrea Torrente,PER,NIL,Andrea Torrente,"```json {""wikipedia_page"":""NIL"", ""wikidata_id"":""NIL""} ```",0
document_141002.html,103,115,Stefano Brun,PER,NIL,Stefano Brun,"```json {""wikipedia_page"": ""NIL"", ""wikidata_id"": ""NIL""} ```",0
document_141002.html,279,289,Presidente,PER,Q30461,Presidente,"```json { ""wikipedia_page"": ""Presidente"", ""wikidata_id"": ""Q30461"" } ```",0.4079002316347816
document_141002.html,319,325,Stagni,PER,NIL,Stagni,"```json {""wikipedia_page"":"""", ""wikidata_id"":""NIL""} ```",0
document_141002.html,405,417,Stefano Brun,PER,NIL,Stefano Brun,"```json { ""wikipedia_page"": ""NIL"", ""wikidata_id"": ""NIL"" } ```",0
document_141027.html,137,143,Italia,LOC,Q2250397,Italia meridionale,"```json {""wikipedia_page"": ""Italia meridionale"", ""wikidata_id"": ""Q2250397""} ```",0.0001717876392693312
