doc_id,start_pos,end_pos,surface,type,identifier,wiki_title,score
https://digitalzibaldone.net/node/p1012_2,276,280,Roma,LOC,Q220,Roma,0.9601929096934393
https://digitalzibaldone.net/node/p1023_2,52,64,impero greco,LOC,NIL,,0.270431214153501
https://digitalzibaldone.net/node/p1037_1,40,50,᾽Eπιτάϕιος,WORK,NIL,,0.01798478634643498
https://digitalzibaldone.net/node/p1042_2,622,626,Roma,LOC,Q220,Roma,0.9779794968071265
https://digitalzibaldone.net/node/p1052_3,74,86,de Senectute,WORK,Q5244244,De beneficiis,0.5436502092530336
https://digitalzibaldone.net/node/p1054_2,330,340,Forcellini,WORK,Q3846125,Marco Forcellini,0.9522767831142278
https://digitalzibaldone.net/node/p1055_2,128,133,Soave,PER,Q47876,Soave,0.9754268645175113
https://digitalzibaldone.net/node/p1104_1,650,659,la Crusca,WORK,Q17154448,La Rettorica,0.7811925660734844
https://digitalzibaldone.net/node/p1105_1,234,248,il Forcellini.,WORK,Q3846125,Marco Forcellini,0.8556581449978297
https://digitalzibaldone.net/node/p1105_3,260,264,Aen.,WORK,Q1541,Marco Tullio Cicerone,0.783722962996775
https://digitalzibaldone.net/node/p1105_3,313,327,lido Siciliano,LOC,NIL,,0.175154391430577
https://digitalzibaldone.net/node/p1105_3,1017,1020,En.,WORK,NIL,,0.019052859012529667
https://digitalzibaldone.net/node/p1139_1,678,686,Palamede,PER,Q8739,Archimede,0.9594978471711754
https://digitalzibaldone.net/node/p1139_1,688,693,Plin.,PER,NIL,,0.005193999787403121
https://digitalzibaldone.net/node/p1139_1,758,765,Servius,PER,NIL,,0.3127947556220057
https://digitalzibaldone.net/node/p1139_1,766,773,ad Aen.,WORK,NIL,,0.16089643597980025
https://digitalzibaldone.net/node/p1139_1,793,800,Fabric.,PER,NIL,,0.015764764261881788
https://digitalzibaldone.net/node/p1139_1,801,806,B. G.,WORK,NIL,,0.0022243617912591595
https://digitalzibaldone.net/node/p1139_1,823,833,il Lessico,WORK,Q8096,Lessico,0.6363917517976088
https://digitalzibaldone.net/node/p1139_1,839,847,Hofmanno,PER,NIL,,0.06699398896831821
https://digitalzibaldone.net/node/p1139_1,1249,1276,Annali di Scienze e lettere,WORK,Q3604050,"Accademia nazionale di scienze, lettere e arti (Modena)",0.7416524568783348
https://digitalzibaldone.net/node/p1148_1,28,38,Forcellini,PER,Q3846125,Marco Forcellini,0.8933785905954699
https://digitalzibaldone.net/node/p1217_1,57,68,Vocabolario,WORK,NIL,,0.27915131286862654
https://digitalzibaldone.net/node/p1230_1,23,33,Forcellini,PER,NIL,,0.0719600294349736
https://digitalzibaldone.net/node/p1230_1,162,168,Crusca,WORK,Q188672,Crusca,0.9367175301204471
https://digitalzibaldone.net/node/p1230_1,435,451,Storie Pistolesi,WORK,Q24937089,Storie di Decio Mure,0.9408715001785288
https://digitalzibaldone.net/node/p1230_1,458,464,Crusca,WORK,Q188672,Crusca,0.7735284411328698
https://digitalzibaldone.net/node/p1230_1,528,547,M. Pace da Certaldo,PER,Q3894613,Paolo da Certaldo,0.6714599179061583
https://digitalzibaldone.net/node/p1230_1,793,810,Vincenzo Lancetti,PER,Q7932250,Vincenzo Pacetti,0.933939123288777
https://digitalzibaldone.net/node/p1230_1,870,876,Crusca,WORK,Q188672,Crusca,0.9187116850736213
https://digitalzibaldone.net/node/p1230_1,983,989,Crusca,WORK,Q188672,Crusca,0.9659600488372191
https://digitalzibaldone.net/node/p1230_1,1094,1100,Crusca,WORK,Q188672,Crusca,0.8936178602133842
https://digitalzibaldone.net/node/p1230_1,1147,1158,Il Du Cange,WORK,Q7801694,Il Tigrane,0.7904346816444174
https://digitalzibaldone.net/node/p1290_1,731,737,Morery,PER,NIL,,0.01464464095029311
https://digitalzibaldone.net/node/p1290_1,739,768,Grand dictionnaire historique,WORK,NIL,,0.0890041248113884
https://digitalzibaldone.net/node/p1290_1,807,815,Prideaux,PER,NIL,,0.05795699621174933
https://digitalzibaldone.net/node/p1290_1,821,827,Vossio,PER,Q3965164,Sossio,0.6927017350792231
https://digitalzibaldone.net/node/p1313_1,239,247,Proposta,WORK,NIL,,0.3090520793309906
https://digitalzibaldone.net/node/p1329_1,356,364,Lancetti,PER,Q3615622,Andrea Comparetti,0.7508500679728608
https://digitalzibaldone.net/node/p1329_1,380,388,Proposta,WORK,NIL,,0.4383104467418921
https://digitalzibaldone.net/node/p1366_1,21,26,Petr.,PER,NIL,,0.2383550523571862
https://digitalzibaldone.net/node/p1366_1,27,32,Bocc.,PER,NIL,,0.15385156078320716
https://digitalzibaldone.net/node/p1366_1,323,329,Grecia,LOC,Q41,Grecia,0.9891026195811301
https://digitalzibaldone.net/node/p1366_1,590,598,Proposta,WORK,NIL,,0.49005675235007334
https://digitalzibaldone.net/node/p1378_1,728,733,Circe,WORK,Q187602,Circe,0.9608250465255068
https://digitalzibaldone.net/node/p1445_1,129,135,Thomas,PER,Q2277355,Thomas Pitt,0.9717967467871891
https://digitalzibaldone.net/node/p1445_1,136,156,Essai sur les Eloges,WORK,NIL,,0.03907007367735989
