doc_id,start_pos,end_pos,surface,type,identifier,score
https://digitalzibaldone.net/node/p1012_2,416,422,Milano,LOC,Q490,-0.09864772856235504
https://digitalzibaldone.net/node/p1012_2,529,537,Cicerone,PER,Q1541,-0.0780731663107872
https://digitalzibaldone.net/node/p1023_2,189,195,italia,LOC,Q38,-0.10282932966947556
https://digitalzibaldone.net/node/p1023_2,251,255,Cic.,PER,Q1541,-0.16233135759830475
https://digitalzibaldone.net/node/p1023_2,262,270,Virgilio,PER,Q1398,-0.07025989145040512
https://digitalzibaldone.net/node/p1023_2,289,296,Augusto,PER,Q1405,-0.09768872708082199
https://digitalzibaldone.net/node/p1034_2,62,68,Italia,LOC,Q38,-0.14156578481197357
https://digitalzibaldone.net/node/p1037_1,64,73,Demostene,PER,Q117253,-0.08766750246286392
https://digitalzibaldone.net/node/p1040_1,421,427,italia,LOC,Q38,-0.23148247599601746
https://digitalzibaldone.net/node/p1040_1,436,442,Gallie,LOC,Q38060,-0.12959380447864532
https://digitalzibaldone.net/node/p1040_1,642,648,Gallie,LOC,Q38060,-0.1259995996952057
https://digitalzibaldone.net/node/p1040_1,681,687,italia,LOC,Q38,-0.12206903100013733
https://digitalzibaldone.net/node/p1040_1,721,728,Sicilia,LOC,Q1460,-0.11984296888113022
https://digitalzibaldone.net/node/p1040_1,740,746,Gallie,LOC,Q38060,-0.13816384971141815
https://digitalzibaldone.net/node/p1040_1,1300,1306,italia,LOC,Q38,-0.1034650057554245
https://digitalzibaldone.net/node/p1040_1,1312,1319,Francia,LOC,Q142,-0.11197958886623383
https://digitalzibaldone.net/node/p1040_1,1610,1616,italia,LOC,Q38,-0.13080376386642456
https://digitalzibaldone.net/node/p1040_1,1622,1629,Francia,LOC,Q142,-0.12523509562015533
https://digitalzibaldone.net/node/p1042_2,208,214,italia,LOC,Q38,-0.14213328063488007
https://digitalzibaldone.net/node/p1042_2,333,339,Gallie,LOC,Q38060,-0.1047421544790268
https://digitalzibaldone.net/node/p1042_2,442,448,italia,LOC,Q38,-0.1376689076423645
https://digitalzibaldone.net/node/p1042_2,965,971,Gallie,LOC,Q38060,-0.11504636704921722
https://digitalzibaldone.net/node/p1042_2,1112,1118,italia,LOC,Q38,-0.12121239304542542
https://digitalzibaldone.net/node/p1042_2,1171,1178,Francia,LOC,Q142,-0.10100305080413818
https://digitalzibaldone.net/node/p1045_2,3,10,Francia,LOC,Q142,-0.09703104197978973
https://digitalzibaldone.net/node/p1045_2,595,606,inghilterra,LOC,Q21,-0.08424786478281021
https://digitalzibaldone.net/node/p1045_2,741,747,europa,LOC,Q46,-0.10418570786714554
https://digitalzibaldone.net/node/p1045_2,888,894,europa,LOC,Q46,-0.11581090092658997
https://digitalzibaldone.net/node/p1045_2,997,1008,Shakespeare,PER,Q692,-0.08487826585769653
https://digitalzibaldone.net/node/p1045_2,1074,1081,Francia,LOC,Q142,-0.11545183509588242
https://digitalzibaldone.net/node/p1049_1,300,306,Orazio,PER,Q6197,-0.3376004695892334
https://digitalzibaldone.net/node/p1052_3,59,63,Cic.,PER,Q1541,-0.1270357370376587
https://digitalzibaldone.net/node/p1052_3,74,86,de Senectute,WORK,Q1051232,-0.39476099610328674
https://digitalzibaldone.net/node/p1054_2,146,152,Sulzer,PER,Q116036,-0.37869295477867126
https://digitalzibaldone.net/node/p1055_2,183,188,Locke,PER,Q9353,-0.09467258304357529
https://digitalzibaldone.net/node/p1055_2,190,197,Venezia,LOC,Q641,-0.12105954438447952
https://digitalzibaldone.net/node/p1056_3,425,433,Cicerone,PER,Q1541,-0.07841543108224869
https://digitalzibaldone.net/node/p1056_3,441,447,Plauto,PER,Q47160,-0.07559233903884888
https://digitalzibaldone.net/node/p1056_3,453,461,Terenzio,PER,Q172048,-0.06681830435991287
https://digitalzibaldone.net/node/p1065_3,577,583,Milano,LOC,Q490,-0.09065280854701996
https://digitalzibaldone.net/node/p1104_1,637,642,Dante,PER,Q1067,-0.08433227241039276
https://digitalzibaldone.net/node/p1105_3,250,258,Virgilio,PER,Q1398,-0.06797794252634048
https://digitalzibaldone.net/node/p1139_1,678,686,Palamede,PER,Q252387,-0.09701665490865707
https://digitalzibaldone.net/node/p1139_1,688,693,Plin.,PER,Q82778,-0.07480491697788239
https://digitalzibaldone.net/node/p1139_1,1278,1284,Milano,LOC,Q490,-0.09277768433094025
https://digitalzibaldone.net/node/p1213_1,42,48,europa,LOC,Q46,-0.09265532344579697
https://digitalzibaldone.net/node/p1213_1,352,358,europa,LOC,Q46,-0.09081520885229111
https://digitalzibaldone.net/node/p1213_1,1018,1024,europa,LOC,Q46,-0.1680479347705841
https://digitalzibaldone.net/node/p1213_1,1515,1521,europa,LOC,Q46,-0.0948866456747055
https://digitalzibaldone.net/node/p1213_1,1696,1702,europa,LOC,Q46,-0.12787343561649323
https://digitalzibaldone.net/node/p1213_1,1716,1722,italia,LOC,Q38,-0.18323354423046112
https://digitalzibaldone.net/node/p1213_1,1779,1785,italia,LOC,Q38,-0.12338980287313461
https://digitalzibaldone.net/node/p1213_1,2090,2096,europa,LOC,Q46,-0.09228481352329254
https://digitalzibaldone.net/node/p1213_1,2370,2376,europa,LOC,Q46,-0.09281633794307709
https://digitalzibaldone.net/node/p1230_1,186,191,Dante,PER,Q1067,-0.08112718164920807
https://digitalzibaldone.net/node/p1230_1,549,556,Firenze,LOC,Q2044,-0.09780193865299225
https://digitalzibaldone.net/node/p1230_1,894,900,Milano,LOC,Q490,-0.09886076301336288
https://digitalzibaldone.net/node/p1233_1,92,98,europa,LOC,Q46,-0.09455159306526184
https://digitalzibaldone.net/node/p1256_2,106,111,Omero,PER,Q6691,-0.08614303916692734
https://digitalzibaldone.net/node/p1256_2,164,173,Raffaello,PER,Q5597,-0.08956065028905869
https://digitalzibaldone.net/node/p1256_2,1083,1088,Omero,PER,Q6691,-0.08559825271368027
https://digitalzibaldone.net/node/p1260_2,160,167,Alfieri,PER,Q296244,-0.0737893357872963
https://digitalzibaldone.net/node/p1270_2,815,827,Sir W. Jones,PER,Q273969,-0.19622498750686646
https://digitalzibaldone.net/node/p1290_1,795,801,Calmet,PER,Q767668,-0.13729214668273926
https://digitalzibaldone.net/node/p1290_1,1184,1190,Bibbia,WORK,Q1845,-0.11500830948352814
https://digitalzibaldone.net/node/p1292_1,108,113,Monti,PER,Q723643,-0.3445858657360077
https://digitalzibaldone.net/node/p1313_1,135,151,Daniello Bartoli,PER,Q2283604,-0.0922747403383255
https://digitalzibaldone.net/node/p1313_1,232,237,Monti,PER,Q723643,-0.347397118806839
https://digitalzibaldone.net/node/p1313_1,605,612,Bartoli,PER,Q2283604,-0.0897359773516655
https://digitalzibaldone.net/node/p1313_1,1070,1075,Dante,PER,Q1067,-0.08083025366067886
https://digitalzibaldone.net/node/p1327_1,101,110,Marmontel,PER,Q379923,-0.2535891532897949
https://digitalzibaldone.net/node/p1329_1,48,54,italia,LOC,Q38,-0.09933966398239136
https://digitalzibaldone.net/node/p1329_1,306,312,italia,LOC,Q38,-0.1016615703701973
https://digitalzibaldone.net/node/p1329_1,368,373,Monti,PER,Q723643,-0.09287267178297043
https://digitalzibaldone.net/node/p1336_2,412,417,Monti,PER,Q723643,-0.1924864500761032
https://digitalzibaldone.net/node/p1350_1,202,208,Milano,LOC,Q490,-0.09078995883464813
https://digitalzibaldone.net/node/p1366_1,14,19,Dante,PER,Q1067,-0.07960532605648041
https://digitalzibaldone.net/node/p1366_1,27,32,Bocc.,PER,Q1402,-0.25513118505477905
https://digitalzibaldone.net/node/p1366_1,293,298,Omero,PER,Q6691,-0.09545648097991943
https://digitalzibaldone.net/node/p1366_1,511,516,Omero,PER,Q6691,-0.09806706756353378
https://digitalzibaldone.net/node/p1366_1,547,552,Monti,PER,Q723643,-0.15099462866783142
https://digitalzibaldone.net/node/p1366_1,684,689,Omero,PER,Q6691,-0.09655480086803436
