doc_id,surface,start_pos,end_pos,type,identifier,score
https://digitalzibaldone.net/node/p1012_2,Andrès,243,249,PER,NIL,8.16
https://digitalzibaldone.net/node/p1012_2,l. c.,251,256,WORK,NIL,1.58
https://digitalzibaldone.net/node/p1012_2,Roma,276,280,LOC,Q18287233,90.63
https://digitalzibaldone.net/node/p1012_2,Milano,416,422,LOC,Q490,99.87
https://digitalzibaldone.net/node/p1012_2,Cicerone,529,537,PER,Q1541,99.96
https://digitalzibaldone.net/node/p1012_2,Andrès,540,546,PER,NIL,17.54
https://digitalzibaldone.net/node/p1012_2,l. c.,548,553,WORK,NIL,1.78
https://digitalzibaldone.net/node/p1023_2,impero greco,52,64,LOC,NIL,60.06
https://digitalzibaldone.net/node/p1023_2,italia,189,195,LOC,Q38,94.43
https://digitalzibaldone.net/node/p1023_2,Cic.,251,255,PER,NIL,99.1
https://digitalzibaldone.net/node/p1023_2,Virgilio,262,270,PER,Q1398,99.58
https://digitalzibaldone.net/node/p1023_2,Augusto,289,296,PER,Q1405,100.0
https://digitalzibaldone.net/node/p1023_2,Andrès,425,431,PER,NIL,10.38
https://digitalzibaldone.net/node/p1034_2,Italia,62,68,LOC,Q38,59.55
https://digitalzibaldone.net/node/p1037_1,Demostene,64,73,PER,Q117253,99.99
https://digitalzibaldone.net/node/p1040_1,Grecia,280,286,LOC,Q41,95.07
https://digitalzibaldone.net/node/p1040_1,italia,421,427,LOC,Q38,55.55
https://digitalzibaldone.net/node/p1040_1,Gallie,436,442,LOC,Q38060,99.09
https://digitalzibaldone.net/node/p1040_1,Gallie,642,648,LOC,Q38060,99.66
https://digitalzibaldone.net/node/p1040_1,italia,681,687,LOC,Q38,93.11
https://digitalzibaldone.net/node/p1040_1,Sicilia,721,728,LOC,Q2257404,56.53
https://digitalzibaldone.net/node/p1040_1,Gallie,740,746,LOC,NIL,66.33
https://digitalzibaldone.net/node/p1040_1,italia,1300,1306,LOC,Q38,99.88
https://digitalzibaldone.net/node/p1040_1,Francia,1312,1319,LOC,Q142,98.55
