doc_id,surface_form,start_pos,end_pos,type
document_110032.html,Universitari di Azione Cattolica,46,78,ORG
document_110032.html,Chiesa,602,608,ORG
document_110034.html,Firenze,49,56,LOC
document_110034.html,VI Convegno d’Arte,60,78,ORG
document_110034.html,Gioventù di Azione Cattolica,161,189,ORG
document_110047.html,Azione Fucina,105,118,ORG
document_110047.html,Associazioni,179,191,ORG
document_110047.html,Segretariati,198,210,ORG
document_110065.html,Azione Cattolica,114,130,ORG
document_110065.html,Università Italiane,985,1004,LOC
document_110082.html,democrazia cristiana,3,23,ORG
document_110082.html,storia,74,80,LOC
document_110082.html,vita,625,629,ORG
document_110088.html,cattolici,17,26,PER
document_110088.html,anti-fascisti,210,223,PER
document_110088.html,partito popolare,329,345,ORG
document_110088.html,democrazia cristiana,905,925,ORG
document_110088.html,Pio XII,1583,1590,PER
document_110090.html,Roos[e]velt,38,49,PER
document_110092.html,Sforza,50,56,PER
document_110092.html,Montevideo,296,306,LOC
document_110106.html,Card. Luigi Lavitrano,24,45,PER
document_110106.html,Palermo,65,72,LOC
document_110106.html,Commissione Cardinalizia per l’alta direzione dell’A.C.I.,92,149,ORG
document_110106.html,Associazioni Universitarie Cattoliche dell’Italia,292,341,ORG
document_110106.html,Fuci,388,392,ORG
document_110114.html,Italia,114,120,LOC
document_110139.html,Tunisia,172,179,LOC
document_110139.html,Italia,302,308,LOC
document_110143.html,Italia,27,33,LOC
document_110155.html,individualismo,34,48,ORG
document_110155.html,Italia,65,71,LOC
document_110155.html,uomo,138,142,PER
document_110155.html,vita democratica,592,608,ORG
document_110155.html,umanesimo,685,694,ORG
document_110167.html,Germania,64,72,LOC
document_110177.html,Azione Cattolica,48,64,ORG
document_110177.html,Roma,77,81,LOC
document_110199.html,Roma,436,440,LOC
document_110199.html,FUCI,509,513,ORG
document_110199.html,Movimento,620,629,ORG
document_110205.html,Margadonna,30,40,PER
document_110205.html,Parri,158,163,PER
document_110205.html,stampa,172,178,ORG
document_110205.html,professionisti,662,676,PER
document_110205.html,uomini colti,680,692,PER
document_110220.html,Laurea,130,136,ORG
document_110220.html,Roma,566,570,LOC
document_110220.html,Congresso Nazionale dei Laureati Cattolici,607,649,ORG
document_110220.html,Unioni Professionali Cattoliche,658,689,ORG
document_110220.html,Centro nazionale dei Laureati,891,920,ORG
document_121003.html,Avanti!,6,13,LOC
document_121003.html,partito socialista italiano,79,106,ORG
document_121003.html,Boy-scouts,604,614,ORG
document_121012.html,Moro,13,17,PER
document_121012.html,Lombardi,45,53,PER
document_121012.html,Costituzione,98,110,ORG
document_121012.html,Codici,199,205,ORG
document_121012.html,Codice,244,250,ORG
document_121020.html,Moro,13,17,PER
document_121020.html,Presidente,75,85,PER
document_121020.html,relatori,173,181,PER
document_121020.html,legge,336,341,ORG
document_121021.html,Moro,13,17,PER
document_121021.html,La Pira,334,341,PER
document_121021.html,Basso,363,368,PER
document_121024.html,Moro,13,17,PER
document_121024.html,La Pira,78,85,PER
document_121024.html,Basso,158,163,PER
document_121024.html,Marchesi,169,177,PER
document_121029.html,Moro,13,17,PER
document_121029.html,Dossetti,144,152,PER
document_121034.html,Moro,13,17,PER
document_121034.html,Basso,71,76,PER
document_121043.html,Moro,13,17,PER
document_121043.html,Marchesi,84,92,PER
document_121087.html,Moro,13,17,PER
document_121087.html,Cevolotto,145,154,PER
document_121087.html,Togliatti,206,215,PER
document_121088.html,Moro,13,17,PER
document_121088.html,Cevolotto,198,207,PER
document_121088.html,Patti Lateranensi,247,264,ORG
document_121088.html,Terracini,983,992,PER
document_121093.html,Moro,13,17,PER
document_121093.html,Sottocommissione,293,309,ORG
document_121093.html,Consulta araldica,660,677,ORG
document_121097.html,Moro,111,115,PER
document_121104.html,dramma sanguinoso,656,673,LOC
document_121104.html,odio,1048,1052,LOC
document_121104.html,brutalità,1335,1344,LOC
